Poem,Number of Versus,Poet,Century,Label,Type,Metre
قامرَ بِالنَّفْسِ في هَوى قَمَرٍونالَ وَصْلَ البُدُورِ بِالبِدْرِوافْتَضَّ أَبْكارَ لَهْوِهِ طَرَباًإِلى عَشايا المُدام والبُكُرِلا يَوْمَ كَاليَوْمِ أَبْرَزَتْهُ لَنارِياضُه في مُشْهَرِ الحِبَرِيَوْمَ بَهيمُ الزَّمانُ يَخْطُرُ مِنْجَمالِهِ في الحُجولِ والغُرَرِمَسَرَّةٌ كَيْلُها بِلا حَشَفٍولَذَّةٌ صَفْوُها بِلا كَدَرِقَدْ ضُرِبَتْ خَيْمَةُ الغَمامِ لَناورُشَّ جَيْشُ النَّسيمِ بِالمَطَرِوعِنْدَنا عاتِقانِ حَمْراءَ كَالشَّمْسِ وأُخْرى صَفْراءَ كَالقَمَرِبِكْرانِ هَذي تُعابُ بِالْكِبَرِ الْبادي وهَذي تُعابُ بِالصِّغَرِمُدامَةٌ كَأَنَّ مِنْ تَقادُمِهاعاصِرَها آَدَمُ أَبو البَشَرِوبِنْتُ خِدْرٍ تُريكَ صُورَتُهابَدْرَ الدُّجى في رِدائِها العَطِرِحَنَّتْ على عودِها وقد بَزَلَتْمُدامَنا جَمْرَةً بِلا شَرَرِيَسْعى عَلَيْنا بِها الوَصَائِفُ قُلْلدْنَ مجوناً قَلائِدَ الزَّهَرِقُرّطْنَ قِرْطَيْنِ إِذْ جَلَبْنَ لَنامُعَقْرِباتِ الأَصْداغِ والطُّرَرِيا تارِكاً طيبَ يَوْمِهِ لِغَدٍتَبيعُ عَيْنَ السُّرورِ بِالأَثَرِإِنْ وَتَرَتْ قَلْبَكَ الهُمومُ فَمامِثْلَ انْتِصارٍ بِالنّايِ والوَتَرِوشادِنٍ حَيَّرَتْ لَواحِظُهُأَلحاظَ عَيْنِ الغَزَالِ بِالحَوَرِأُجْبِرْتُ في حُبِّهِ لأَعْذُرَهُفَإِنْ جَفاني احْتَجَجْتُ بِالقَدَرِسَأَلْتُهُ زَوْرَةً فَجادَ بِهاوكُلُّ هَذا بِأَلسُنِ النَّظَرِفَنِلْتُ سُؤلِيَ مِنْ رَشْفِ ريقِتهِومُنْيَتي مِنْ مَآَرِبٍ أُخَرِ,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 19</p>",أبو بكر الخالدي,العصر العباسي,قصائد غزل,عموديه,بحر المنسرح
حورٌ شَغَلْنَ قُلوبَنا بِفَراغِلِرَسائِلَ قَصُرَتْ عَنْ الإِبْلاغِومَنَعْنَ ورْدَ خُدودِهِنَّ فَلَمْ نُطِقْقَطْفاً لَهُ لِعَقارِبِ الأَصْداغِ,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",أبو بكر الخالدي,العصر العباسي,قصائد غزل,عموديه,بحر الكامل
مَهاةً تَوَهَّمُها أَمْ غَزالاوشَمْساً تُشْبِهُها أَمْ هِلالامُنَعْمَةً أَطَلَقَتْ لَحْظَهافَكَانَ لِعَقْلِ المُعَنّى عِقالاوشَمْسٌ تَرَجَّلُ في مَجْلِسٍلِنَدْمانِها وتُغَنّى ارْتِجالاولا تَعْرِفُ اللَّحْنَ أَلْحانُهاإِذا ما الخِفافُ تَبِعْنَ الثِقالاشَدَتْ رَمَلاً في مَديحِ الوَزيرِ فَظَلْنا من السُّكْرِ نَحكي الرِّمالاوهَلْ ثَمَلُ مُنْكرٌ بَعْدَ أَنْتَكونَ لَهُ راحَتاهُ ثِمالاهَنيئاً مَريئاً بِأَجْرٍ أَقاموصَوْمِ تَرَحْلَ عَنْكَ ارْتِحالاوفِطْرٍ تَواصَلَ إِقْبالُهُلأَنَّ لَهُ بِالسُّعودِ اتِّصالارَأى العيدُ فِعْلَكَ عيداً لَهُوإِنْ كَانَ زَادَ عليهِ جَمالاوكَبَّرَ حينَ رَآكَ الهِلالُكَفِعْلِكَ حينَ رَأَيْتَ الهِلالارَأى مِنْكَ ما مِنْهُ أَبْصَرْتَهُهِلالاً أَضاءَ ووَجْهاً تَلالاتَوَلاَّكَ فيهِ إِلَهُ السَّماءِبِعِزٍّ تَعالى ويُمْنٍ تَوالىولُقّيتَ سَعْداً إِذا العيدُ عادَولُقّيتَ رُشْداً إِذا الحَوْلُ حالاوإِنْ رَمَضانُ أَطاحَ الكُؤوسَفَشَوَّالُ يَأْذَنُ في أَنْ تُشالافَواصِلْ بِيُمْنٍ كُؤوسَ الشُّمولِيَميناً مُقَبَّلَةً أَوْ شِمالاولازِلْتَ عَنْ رُتَبٍ نِلْتَهاومَنْ ذا رَأى جَبْلاً قَطُّ زالا,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 16</p>",أبو بكر الخالدي,العصر العباسي,قصائد غزل,عموديه,بحر المتقارب
أَلَسْتَ تَرى الظَّلامَ وقَدْ تَوَلّىوعُنْقودَ الثُّرَيّا وقَدْ تَدَلّىفَدونَكَ قَهْوَةً لَمْ يُبْقَ مِنْهاتَقادُمُ عَهْدِها إِلاَّ الأَقَلاَّبَزَلْنا دَنَّها واللَّيْلُ داجٍفَصَيَّرَتِ الدُّجى شَمْساً وظِلاَّ,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 3</p>",أبو بكر الخالدي,العصر العباسي,قصائد غزل,عموديه,بحر الوافر
يا شَبيهَ البَدْرِ حُسْناًوضياءً ومِثالاوشَبيهَ الغُصْنِ ليناًوقَواماً واعْتِدالاأَنْتَ مِثْلُ الوَرْدِ لَوْناًونَسيماً ومَلالازارَنا حَتَّى إِذا ماسَرَّنا بِالقُرْبِ زالا,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 4</p>",أبو بكر الخالدي,العصر العباسي,قصائد غزل,عموديه,بحر مجزوء الرمل
بِحُمْرةِ وجْهٍ لِذاكَ الهِلالِوفَتْرَةِ مُقْلَةِ ذاكَ الغَزالِصِلِ اليَوْمَ بِالأَمْسِ إِنّي أَرىلَهُ بِالسَّعودِ وجوهَ اتِّصالِهَواءٌ صَفا وهَوى مِثْلُهُكَخَمْرِ دَلالٍ وماءٍ زُلالِوغَيْمٍ تَوَهُّمُهُ كَالنَّوىوصَحْوٍ حَقيقتُهُ كَالمُحالِومِثْلَ اليَواقيتِ زَهْرُ الرُّبىوقَطْرُ النَّدى بَيْنَها كاللآلِإِذا ما دَنَتْ شَمْسُهُ للذُّبول أَشْرَقَ نُوّارُهُ كالذُّبالِوذا الدَّيْرُ تَسْعى بِغُزْلانِهِشَعانينُهُ في صُنوفِ الجَمالِوصَفْراءُ بائِعُها خاسِرٌولو حازَ عَن قَدَحٍ بَيْتَ مالِأيا بامخايالَ أَفْدي ثَراكَبِنَفْسي ومالي وعَمّي وخاليفَكَمْ سَكْرَةٍ ليَ قَبْلَ الأَذانِ بَيْنَ دَواليبِهِ والدَّواليتَجولُ خُيولُ دَواليبِهافَتَمْلأُ ما وَرْدَ ذاكَ المَجالِ,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 11</p>",أبو بكر الخالدي,العصر العباسي,قصائد غزل,عموديه,بحر المتقارب
وورد بُسْتانِ قحابيةرَتَّبَهُ الحسن بنوْعَيْنِظَاهِرُها مِنْ قَشْرِ يَاقوتَةٍبَاطِنُها مِنْ ذَهَبٍ عَيْنِقَبَّلْتُها حُبّاً لها إِذ بِهاحَيّانِيَ البَدْرُ على عَيْنِكأَنَّها خَدّي عَلى خَدِّهِيَوْمَ اجْتَمَعْنا غَدْوَةَ البَيْنِوقَلْعَةٍ عَانَقَ العُيُّوقُ سَافِلَهاوجَازَ مَنْطِقَةَ الجَوْزا أَعالِيهالا تَعْرِفُ القَطْرَ إِذْ كَان الغَمامُ لَهاأَرْضاً تَوَطّأُ قطريه مَواشيهاإِذا الغَمامَةُ لاحَتْ خاضَ ساكِنُهاحِياضَها قَبْلَ أَنْ تَهْمى عَزالِيهايُعَدُّ مِنْ أَنْجُمِ الأَفْلاكِ مَرقَبُهالَوْ أَنَّهُ كانَ يَجْري في مَجاريهاعَلى ذُرىً شامِخٍ وعرٍ قَد امْتَلأَتْكِبْراً بِهِ وهو مَمْلوءٌ بِها تِيهالَهُ عقابٌ عقاب الجَوّ حَائِمةٌمِنْ دونِها فَهيَ تَخْفَى في خَوافيهاردت مَكايِد أَمْلاكٍ مَكايِدهاوقَصَّرَتْ بِدَواهِيهِمْ دَواهيهاأَوْطَأَتْ هِمَّتكَ العَلْياءَ هامَتَهالَما جَعَلْتَ العَوالي مِنْ مَراقيهاولم تَقِسْ بِكَ خَلْقاً في البَريَّةِ إِذْرَأَتْ قُسِيَّ الرَّدى في كَفِ باريها,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 13</p>",أبو بكر الخالدي,العصر العباسي,قصائد غزل,عموديه,بحر السريع
سل حاجراً ان جئت أرض حاجرعن الظباء الغيد والجآذرعهدي به وهو كناس شادناغن أو عرين ليث خادرخدوره تحمي باجفان الظباأو بضبا حماتها القسأورربع حمدت العيش في ظلالهمبتهج القلب قرير الناظراخطر في روض النعيم رافلافي برد ريعان الشباب الناضروالراح يجلو شمسها بدربهتنجاب عنا ظلمة الدياجرواغيد يرنو بجفن فاترمنكس بالعاشقين ظافريصد عني كالغزال نافراًنفسي فدا ذاك الغزال النافرالله يا ذاكر أيام الحمىهيجت أحزان المشوق الذاكركانما قلبي إذا ذكرتهممعلق بين جناحي طائريا جيرة قلبي أسير حبّهمرفقاً بقلب الهائم المستأسرسرتم تؤمون اللوى ومهجتيفي اثر اظعانكم السوائرلو انتجعتم مدمعي اغناكمبالدمع عن صوب الغمام الماطرخضتم دجى ليل جلا ظلامهضياء اقماركم السّوافريذكو شذى الوادي الذي جزتم بهعن ارج المسك الذكي العاطرلله ركب ضمنت خدورهزهر الدراري وشذا الازاهرمن غادة تبسم عن مفلجعذب اللمى منضد الجواهرحلو الجنى يجري خلال درّهسلافة عزت على المعاقربحلية الحسن تحلت فغدتتميس في وشي الجمال الباهرنجدية الأوطان بابليةالأجفان إذ ترنو بطرف ساحرقل لتقيل بسيوف لحظهامالك ما بين الورى من ثائريا عاذل الصب المشوق في الهوىلو ذقت طعم الحب كنت عاذريدعني وأشجاني واسلم بالحشاوبت خلياً من هوى مخامرواحذر على قلبك ان تغتالهصوارم تنضى من المحاجرأعلنت سرّي في الهوى مجاهراًولذة الغرام للمجاهرلم تدر ما لذة هجر بعدهيأتي وصال من حبيب هاجرللحب أقوام سواك أرخصواما قد غلا للأعين الفواترما طال ليلى غير ان صبوةطال بها ليل الكئيب الساهرفمن عناء المستهام قولههل لك يا ليل النوى من آخركأنما ليلي استعار طولهمن الفروع السود والغدائر,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 30</p>",أبو المحاسن الكربلائي,العراق,قصائد غزل,عموديه,بحر الرجز
رنت باجفان غزال اكحلقانصة اسد الشرى بالكحلثم انثنت تميس في معاطفتزري باعطاف الرماح الذبلشمس الضحى في خجل من حسنهامن حسنها شمس الضحى في خجليا من رأى شمسا على غصن نقايميله سكر الصبا في الحللظبية خدر مالها من قانصشمس جمال مالها من مجتلىقلبي صريع طرفها وكم رمتفاقصدت مقلتها من مقتليفمصرع العشاق من قوامهاوطرفها بين القنا والاسلارى السيوف بالدروع تتقيالا سيوفا تنتضى من مقلاصبح قلبي غرضا ترشقهبالنبل ربات العيون النجلما هي الا لحظة واحدةتجمع ما بين المنى والاجلفتك الضبا حين تسل وضبااجفانها قواتل في الخللتبسم عن مفلج رقت بهسلافة الراح وصفو العسلما لطعين عاسل من قدهابرء سوى رضابها المعسلما لذي لي غير الرضاب منهلواظمأ القلب لذاك المنهلما ضرها لو سمحت برشفةمن ريقة فيها شفاء العلليا زمن الوصل على كاظمةاعائد أنت بذاك العيش ليإذ موردي عذب وروض بهجتيغض وحبل الوصل لم ينفصلأيام أنس قد بلغت وطريفيها وأدركت قصارى أمليبكل نشوى اللحظ من سكر الصباتسعى بكاسات الرحيق السلسلهيفاء مقلاق الوشاح ان مشتلكنها صامتة المخلخلأين الشقيق الغض من وجنتهاوالغصن من قوامها المعتدلقد عطلت من الحلي جيدهاغانية بالحسن عن كل الحلىاصبحت اهوى عذلي لذكرهالذكرها اصبحت اهوى عذليرقيقة الخدين قاس قلبهاخفيفة الخصر رداح الكفلكم بخلت بوصلها عن عاشقلو سألته نفسه لم يبخلوشادن يعطو بجيد اتلعوناظر بسحره مكتحلظبي إلى الفرس انتمى جمالهفكيف اضحى طرفه من ثعلليت الذي اعل جسمي طرفهكان بوعد وصله معلللم أنس يوم المنحنى موقفناكان بوعد وصله معللوالنفس قد طارت شعاعاً بدداًمن لوعة الوجد وبرح الوجلولم يكن الا وقوف ساعةحتى حدا بالركب حادي الابلقد كان حظ العين يوم رامةخلسة لحظ من خلال الكلللا تطلبوا لي عن هواهم بدلافلست أرضى بعدهم بالبدلمن بعدهم حال سواد مفرقيشيبا ولكن حبهم لم يحليا قلب ما لا قيت من صبابةبجائر في حكمه لم يعدليرى دمي محللا ووصلهمحرماً علي لم يحللهل لك ان تصحو من سكر الهوىفقد أتى صحو النزيف الثمل,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 37</p>",أبو المحاسن الكربلائي,العراق,قصائد غزل,عموديه,بحر الرجز
يا غزال النقا وظبي المصلىمن لقلب بنار حبك يصلىقد تماديت بالقطيعة والهجرولم تمنح الميتم وصلافلو اني اراك وجهاً بوجهلشرحت الغرام فصلا ففصلا,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 3</p>",أبو المحاسن الكربلائي,العراق,قصائد غزل,عموديه,بحر الخفيف
