Poem,Number of Versus,Poet,Century,Label,Type,Metre
هم انتدبوني للعظائم فانجلتعظائمهم مني بأشجع منتدبفصابرتها والرعب يقذف بالحشىونار الوغى ترمي وتقذف باللهب,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",أبو المحاسن الكربلائي,العراق,قصائد هجاء,عموديه,بحر الطويل
قطعت علائقي عن كل خلجدير بالمودة واصطفيتكوان سعادتي أن ترتضينيخليلا بالصفاء كما ارتضيك,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",أبو المحاسن الكربلائي,العراق,قصائد هجاء,عموديه,بحر الوافر
زمان بالكرام يسيء صنعاًويجمع للئام المال جمعافكم من مشتكى قد ضاق ذرعاوقائلة ارى الأيام تسعىإلى اللؤماء بالسير الحثيثفقلت المال ذو شبه تمامبقوم مثل وفرهم لئامفليس على الليالي من ملامرأت ان المكاسب من حرامفجادت بالخبيث علىالخبيثوجيد الدهر بالفضلاء حاليوذلك فخرهم في كل حالوفخر الجاهلين ثراء ماللهم حدث الغنى وأولوا المعاليلهم من دهرهم حسن الحديث,,أبو المحاسن الكربلائي,العراق,قصائد هجاء,عموديه,بحر الوافر
يا هندسي تلبّثلا تعجلن وتريثسأحدث اليوم أمراًبه الورى تتحدثمن فعلتي وعضويأريك شكلا مثلث,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 3</p>",أبو المحاسن الكربلائي,العراق,قصائد هجاء,عموديه,بحر المجتث
ابلغ إذا جئت جورجاً ان اسرتهقد صافحوا الترب في اكتاف بغدادطاروا شعاعاً بنقع الخيل إذ حملتعليهم كالسعالى تحت آسادلاقتهم فئة ظمأى فما برحتحتى ارتوت من نجيع غلطة الصادياصلتهم حر نيران مدافعنافاصعقتهم بأبراق وارعادملأ الشعاب لهم قتلى مطرّحةمثل الغنائم لا تحصى بتعدادلم يبق في لندن ناد يقام بهالا واعول شجوا ذلك النادي,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 6</p>",أبو المحاسن الكربلائي,العراق,قصائد هجاء,عموديه,بحر البسيط
أين الغيارى وحماة الذمارفالقوم قد جاسوا خلال الديارفي كل يوم غارة عاديةوحملة ظالمة قاسيةقد رخصت أوطاننا الغاليةمذ اسلمتها المرهفات الحرارايهنأ النوم لأجفانناوالرّوس قد عاثت بأوطانناحتى م لا نرثي لأخوانناما هذه الجفوة ما الاعتذاركادت ترى ايران مستعمرةللروس والهفي وانكلترةكانت لعمري غدرة مضمرةفبان ما كان وراء الستارفروسيا محتلة بالشمالتغري رعاع الشعب بالأختلالكي تتقوى حجة الاحتلالفالنقع منها ولها يستثاروقد مشت انكلترا في الجنوببرغم أهليها ورغم الشعوبفاعجب لقلب اسفاً لا يذوبمن لوعة الوجد وبرح الأوارطامعة في نيل اخطارهاآمنة من هول اخطارهاتروع الشعب باخطارهاتزعم ان سدّ طريق البحارما يومنا من روسيا واحدوالعدل من تاريخنا شاهدقد حان ان ينتبه الراقدولا يذوق النوم إلا غرارفي كل أمر وقفت ضدناوكم علينا ظاهرت خصمنافمزقت أيدي سبا ملكنافالملك يبكي بالدموع الغزارقد فصلت بالرغم بلمارياوالروملي عنا وبلغارياواختلست قرص وقوقازياأي خسار مثل هذا الخسارفادع إلى النهضة كل البلادوناد بالإسلام في كل نادنداء واري العزم واري الفؤاداضم في أحشائه الحزن ناريا ملة الإسلام توحيدنااهم فرض فيه توحيدناوفي ضمان الله تأييدناومجدنا فيه عزيز الشعارقوموا فلبوا داعي الاتحادواعتضدوا فالعز بالاعتضادبه معالي مجدكم تستعادفيعذب الورد وتحلوا الثمارهذا صريخ الفرس قد جاءنايملأ بالصرخة ارجاءنااليس ما قد ساءهم ساءنافلم تقاعدنا عن الانتصارننمى إلى الإسلام وهو النسبفنحن أخوان لأم وابفلنعطهم من حقهم ما وجبولننصر الدين ونرع الجوارفعادة الميكروب ما لم تردتسري فما يسلم منها بلدعند السياسي القياس اطردالم نشاهد ما به الاعتبارفاعتبروا بالهند كيف اغتدتلما عليها الانكليز اعتدتقد كانت الحرة فاستعبدتواستلبت ثروتها والفخاروهذه مصركم القاهرةقد اصبحت مقهورة حائرهوهي إلى نصرتكم ناظرهطال عليها زمن الانتظاروهذه أخواننا في كريدقد بقيت رهن عناء شديدتأبى فما ترضى بحكم جديدكم صبرها قد نفد الاصطبارلا تبرقوا للدول الحاميةواستنجدوا البارقة الماضيةتقرر السؤدد في خانيهإذا اروّبا عللت بالقرارقالوا اروبا حرة عادلةلم ترعن خطتها عادلةمحبة السلم له كافلهترّد من عن خطة الحق جارقلت من العدل وحب السلامان عرّضت ايران للاقتساميا أيها العدل عليك السلاماصبحت كالجور كثر العثارنحن على غفلتنا راقدونوهم على استملاكنا دائبونكنائسا شادوا وشادوا حصونيا غيرة الدين استطيري شراريا اسرة المجد الكرام الجدودنهضا فما هذا أوان القعودالستم اشبال تلك الأسودقد دوخوا البرّ وخاضوا البحارإياكم الخذلان اياكميفسد دنياكم واخراكمهذا كتاب الله ينهاكمعنه وما الخذلان الا بواريا علماء العصر يا من بهميجلى ظلام الحادث المدلهمانتم عصام الخطب للمعتصموالكهف بعد الله والمستجارقوموا قياماً واحداً اجمعينودافعوا عن حوزة المسلمينالنصر عند الله وهو المعينعلى الأعادي فالبدار البدارامركم المسموع فينا المطاعفأوجبوا الألفة والاجتماعونظموا الشمل الشتيت الشعاعفالشمل قد آل إلى الانتثارالترك ةالعرب وايرانهاوالهند والصين وافغانهاهم أخوة والشرق أوطانهاتحمي حماه بحدود الشفارقد شخصت ابصار هذي الأممإليكم ترقب أمر القلموالقلم البارع نعم الحكميطنب بالردع على الاختصارقالوا اقتسمنا الأرض بالاتفاققلت فما شان السيوف الرقاقدون الذي رمتم دماء تراقواكؤس للحتف فيكم تدارنحافظ استقلالنا والكيانبالصارم العضب وحد السناننحن الألى في كل حرب عوانذقتم مرير الباس منا مرار,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 63</p>",أبو المحاسن الكربلائي,العراق,قصائد هجاء,عموديه,بحر السريع
من ناشد لي في حديثة شادناًفارقته بالكره مني لا الرضاواما وجمرة خد وان الحشىمنه قد استعرت بها نار الغضاهام الفؤاد بحبه فأعلهبجفونه المرضى الصحاح وامرضالا تطلبا بظلامتي فأنا الذيعرضت نفسي للحسام المنتضى,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 4</p>",أبو المحاسن الكربلائي,العراق,قصائد هجاء,عموديه,بحر الكامل
نحن ننمي إلى الشريف ويأبىمجدنا نسبة الأصول الوضيعهفلدارون للقرود انتماءولنا الفخر بالجدود الرفيعهصرعت منهم العقول وعاثالوهم في تلكم العقول الصريعهان خلق الإنسان صنع حكيمجل ان تدرك العقول صنيعهلا يغرنك السراب وهذامنهل فامش في طريق الشريعهان نشو ارتقائنا هو قولفاسعد وهو من فساد الطبيعه,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 6</p>",أبو المحاسن الكربلائي,العراق,قصائد هجاء,عموديه,بحر الخفيف
وقائل ما بال آل الهدىفي كربلا قتلى لآل الطليقمن الذي اسس في ظلمهموقتلهم هذا البناء الوثيقومن ترى قد غصب المرتضىحقاً به كان جديراً حقيققلت له هذا حديث مضىلكن مضاء المشرفي الذليقفخذ جديداً من رزاياهمان الذي تسئل عنه عتيق,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 5</p>",أبو المحاسن الكربلائي,العراق,قصائد هجاء,عموديه,بحر السريع
بالله سل عصبة بالفرس قد فتكتبأي جرم دماء القوم قد سفكتفرّت من الظلم اشفاقا فكان لهاسفك الدماء جزاء ان دعت وشكتلم ينقموا منهم الاولاء هموحبهم عترة قد قدّست وزكتطلت دماء اراقتها سيوفهمكأنه يوم تشريق وقد نسكتولم تكن حرمة الأسلام تمنعهمعنها ولا حرمة الشهر التي انتهكتقرت عيون العدى واستضحكت فرحاًفسوف تبكي طويلا بعدما ضحكتيا غيرة الدين والشرع اثأري بهمواطفئي نار حزن في القلوب ذكتلهفي لهم وبنات الرعد تمطرهمبنادقا بسمام الموت قد سبكتقاد الغوي لهم جنداً مؤلفةمن كل مارقة في قتلها اشتركتفغودرت منهم قتلي مطرحةفوق الثرى برحى الهيجاء قد عركتعارين قد سلبوا منهم ثيابهمويح اللئام فما تبقي إذا ملكت,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 11</p>",أبو المحاسن الكربلائي,العراق,قصائد هجاء,عموديه,بحر البسيط
