Poem,Number of Versus,Poet,Century,Label,Type,Metre
أشرقت منك في الوجود ذكاءفجلا حالك الظلام الضياءدرة عن سنائها قد تشظىصدف الفيض فاستضاء السناءيا إماماً سما مقاما علياًقصرت دون شأوه الجوزاءهل نجوم السماء إلا صفاتلك زينت بزهرهن السماءلك ذات قد أبدع الله فيهاصنعه وهو صانع ما يشاءعبقت من أريجها نفحاتفاستطابت بنشرها الأرجاءنفد اللفظ وانتهى كل معنىومعانيك ما لهن انتهاءأنت أسنى علا وأسمى محلاأن يداني صفاتك الإطراءنزلت بالثناء آيات وحيصادع في علاك منه الثناءأنت في نعته إمام مبينأحصيت في بيانه الأشياءملأ الله صدرك الرحب علماًضاق عن بعض ما حواه الفضاءدل مكنونه على الغيب حتىكشف الستر دونه والغطاءمن هداه السبيل كان ولياًلك يا من ولاؤه الاهتداءلا يجوز الصراط إلا محبمنك يعطى الجواز وهو الولاءولك الكوثر الذي منه تسقىشبعة الحق والقلوب ظماءعصمة الخائفين من كل هوليوم لا عاصم ولا شفعاءباب علم النبي خير البراياأنت وهو المدينة الفيحاءعندك العلم وهو علم كتابسخرت طوع حكمه الأشياءلم يكن عند آصف غير جزءمنه واستجمعت لك الأجزاءيوم وافى بالعرش طرفة عينوإذا الشام عنده صنعاءأنت يا صنو أحمد منه كالضوءمن الضوء حبذا الأضواءأنت وازرته وكنت أخاهيوم عزت وزارة واخاءكنت في ليلة الفراش وقاءحين لم يلف للنبي وقاءثابت الجأش طامناً لا تباليوسيوف العدى إليك ظماءبين فضلك الجلي ولكنلا ترى الشمس مقلة عمياء,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 25</p>",أبو المحاسن الكربلائي,العراق,قصائد مدح,عموديه,بحر الخفيف
أبا حسن أنت الذي فاق مجدهومن فوق أيديهم غدا نقطة الفاءتواضعت لاسم الله جل جلالهفصرت له يا عينه نقطة الباء,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",أبو المحاسن الكربلائي,العراق,قصائد مدح,عموديه,بحر الطويل
شمس المعارف قد زانت ببهجتهالما اضاءت سماء العلم والادبتلوح من مشرق الآداب في فلكما ان له غير إبراهيم من قطبكانها وهي بكر في محاسنهاتفتر عن لؤلؤ رطب وعن شنب,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 3</p>",أبو المحاسن الكربلائي,العراق,قصائد مدح,عموديه,بحر البسيط
ابلغ إذا جئت أباوهو الألمعي اللبيبوقل له أين استقل الحدىمنك فأصبحت بأمر عجيبتخذل دين الله مستنصرامن سفه الراي لدين الصليبوتسلم الثغر لأعدائهاسلمك الله ليوم عصيبانك تبغي خطة مالهافي الدين والدنيا جميعاً نصيبانك كالباحث عن مديةف يحدها ذاق الحمام الرهيبمن سفه الرأي ومن افنهيا شيخ ان تدعي فلا تستجيبفلا سقاك الله الا القذيبعد ولا ارعاك الا الجديبما هو الا قلم نافذذيسلبك الأمر فبئس السليبفتخلع العز وابرادهوتلبس الذل بها عن قريب,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 10</p>",أبو المحاسن الكربلائي,العراق,قصائد مدح,عموديه,بحر السريع
اتذكرت باللوى والكثيبملعب الريم والغزال الربيبام تذكرت بالشقيقة أياموصال وعهد حسن وطيبوسرى عاطر النسيم فأهدىلك طيب الحمى ونشر الحبيبوليال قصرن أنساً فطالتبعدها لوعة المحب الكئيبكل ريم ساجي الجفون غزيرومهاة نشوى اللحاظ لعوبكلما افتر ثغرها وضح اللؤلؤفي سلسل الشتيت الشنيبووشاح يعدي الفؤاد خفوقاًفهو يلقى خفوقه بوجيبما على المانعين نيل لقاهامن وصال العفيف غير المريبيستزير الخيال بلغة راضمن مواعيدها بطيف كذوبوكفى بالتقى حجاباً إذا لمتغن شيئاً صيانة المحجوبقرّب الذكر دارها فالتقيناونعيم الهوى وصال القلوبليس يخشى على القلوب رقيبوالتلاقي عليه الف رقيبحاز فيه النسيب بهجة حسنفمن الحسن بهجة في النسيبمثلما حازت المدائح فخرابمعاني الشهم الهمام النقيبشرف القول في مديح أبيمحمود الماجد الشريف الحسيببالأغر الوضاح والسير الجحجاحبحر السماح غيث الجدوبفي معاليه للقوافي مجاليتسابقن في الفسيح الرحيبساد أشرافها بعلم وحلمومضاء ونائل موهوبضارباً بيت سؤدد طاول الأنجم ضافي رواقه المضروبقابل السؤدد التليد طريففتحلى قديمه بالقشيبوكلا السؤددين عال رفيعقاصر عنه باع كل طلوبنسب تشرق الشموس بنورمستنير السنا له منسوبقل لمن رام شأوه بعد النيلومنك العثار جد قريبان للمكرمات غيرك أهلاحملوا عبئها بغير لغوبملكوا غاية السباق وفازوابمعلى قداحها والرقيبيسمون الفعال ميسم حسنان وسمتم افعالكم بعيوبوله في الندى بشر أنيسدونه عزة الوقور المهيبويحل الوفود منه بربعكمحياه بالنوال خصيبويكاد المحل من كرم الأهليلاقي الضيوف بالترحيبنعم مستوطن الرجاء إذا ماطوح اليأس بالرجاء الغريبما دعاه داعي المكارم إلاكان عند الدعاء خير مجيبالمساميح عند بخل الغواديوالمصابيح في ظلام الخطوبهم شموس العلى نجوم المساعيمالأقمار سعدهم من غروب,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 33</p>",أبو المحاسن الكربلائي,العراق,قصائد مدح,عموديه,بحر الخفيف
لقد شقت اذني منك قصيدةكان مجالي نظمها اللؤلؤ الرطبومن راح يصبو للغواني فاننيلنظم عليّ القدر بين الورى اصبومحمد الشهم العلي مقامههو السيف مصقول الغرارين لا ينبوله قلم قد جل باريه صنعةفما الاسمر العسال والمرهف العضبإذا خمدت أفكار قوم فانهلذو فكرة تذكو ضراماً ولا تخبو,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 5</p>",أبو المحاسن الكربلائي,العراق,قصائد مدح,عموديه,بحر الطويل
وصاحب عاشرني مدةفكان من خيرة اصحابييصبو لأشعاري فلا بدع انسميته الصاحب والصابي,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",أبو المحاسن الكربلائي,العراق,قصائد مدح,عموديه,بحر السريع
ما الذي تبتغيه منك العداةومن الأسد في حماك حماةطمعوا منك بالمحال فخابواوقصارى المطامع الهلكاتأقبلوا والرجاء طلق المحياووجوه المنى لهم باسماتوانثنوا عنك والفناء يناديفيهم أين يا جناة النجاةريثما بدل الرجاء ببأسفي قلوب طلاعها حسراتواستطالوا ليجتنوا ثمر الفتحفمرت عليهم الثمراتبأساطيل خالها من رآهاانها حين تشرف الهضباتيتمشين في ثياب جمالهن فيه الكواعب الرافلاتمن حديد ضفت دروع عليهاتتراءى كأنها حبراتقبحت مخبرا على حسن مرأىرب حسن حفت به آفاتفهي يوم الهياج نار جحيموهي في يوم سلمها جناتسكنت جوفها ثعابين رملبسهام الردى لها نفثاتإذ تجول المدرعات الذواكيكالمذاكي تبثها الحلباتتسبق العاديات وهي جوارغير ان الفرسان منها مشاةتتلظى كانما في حشاهاقبسات الغرام والزفراتوقفوا موقف النضال وصفتسفن الحرب واستمر الرماةلم تزل ترتمي صوالجها الناركرات في اثرهن كراتوبأقواس نارها ما أصابتغرضاً بل اصيبت الرامياتتتقي الرمي بالدروع ولكنملوقتها دورعها السابغاتبعثت صيحة العذاب عليهمحين صاحت قلاعنا المحكماتاطلقوا نارهم فلم تغن شيئاًوارتمت نارنا فكان الشتاتذهبوا بين هارب وجريحوغريق أودت به الغمراتسفن اربع بخامس مارتغرقت والرجال فيها مئاتلم يطيقوا الثبات في البحر لكنبقرار الخضم كان الثباتسكنوا من قرارة اليم داراًفهنيئاً لأهلها الغرفاتلك يا اكثر الكرام ضيوفاًكرم قد روته عنك الرواةكل حيتانها عليك عيالمن لحوم العدا لها أقواتولقد زودت بخفي حنينبعد شهر فخابت المسعاةهدرت كالفنيق هدراً وعادتوالفتاة العذراء تلك الفتاةتلك بكر على الفحول تسامتوحمت خدرها المنيع الكماةفهي ليلي بنت المهلهل عزاوذووها الاراقم الحياةلو سما خاطب لها بأبانضرجت منه أنفه الضرباتان يمت منهم الرجاء انقطاعاًفلك العيش بعدها والحياةلك تاريخ مفخر يتجلىما تجلت نجومها النيرانخلد الذكر والثنا فهنيئاًلك تلك المآثر الخالدات,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 35</p>",أبو المحاسن الكربلائي,العراق,قصائد مدح,عموديه,بحر الخفيف
ان ابن يعقوب اضحىمنادمي في جناحهيشف رقة طبعكما تشف الزجاجهما افطر اليوم الالكي يلف الدجاجه,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 3</p>",أبو المحاسن الكربلائي,العراق,قصائد مدح,عموديه,بحر المجتث
العراق اليوم يزهوبابن سادات البطاحوالمساعي الفيصلياتمفاتيح النجاحملك يسطو بسيفينهما أمضى سلاحمقول يوم خصامصارم يوم كفاحمن صميم الشرف الباسق والمجد الصراحنسب من نوره يشرق لألاء الصباحسرى برياكم نسيم الصباحفزادني شوقاً لكم وارتياحأقبل من دارين أم رامةونشر كم أم عبق المسك فاحوكيف لا اتبع دين الهوىوقد بعثتم لي رسل الرياح,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 9</p>",أبو المحاسن الكربلائي,العراق,قصائد مدح,عموديه,بحر مجزوء الرمل
أهدى شقيق المجد في كفهإلى شقيق الحسن تفاحهبيضاء حمراء إذا شمهاالمزكوم نال الروح والراحهكأنها خمر غدا جامداوكاسه مجتمع الراحهفلا تسل عن ثمل عاشقسقاه ساقي الحب اقداحه,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 4</p>",أبو المحاسن الكربلائي,العراق,قصائد مدح,عموديه,بحر السريع
كان الهدى بابي المهدي يعتضدفأين ساعد دين الله والعضدفل الحمام حساماً في مضاربهكانت جراثيم أهل الظلم تنحصدحلت بحامية الإسلام نائبةوالهفتاه فمال الركن والعمدفكل عين غدير من مدامعهاوكل قلب سعير بالاسى يقدلا تبعدن أبا المهدي آونةوان منيت بقوم عنك قد بعدواوانهض بعزمك وهو السيف منفرداًان العظيم بسيف العزم ينفردقد كان يومك معروفاً مآثرهفلا عليك إذا هم فضله جحدواان سر نعيك قوماً لاخلاق لهمفهز القذاة لعين الشرع والسهداليوم قد رزء الإسلام مرزئةكبرى تبيت لها الاحشاء تنقدمن للدروس التي آلت معالمهاإلى الدروس إذا طلابها حشدوامن للمنابر يرقاها فيرسلهافوائداً من فيوض العلم تطرديطوف خمس مئين حول منبرهوكلهم بارع بالفضل مجتهدفآية الله تدعى تارة وإذاتفاقم الخطب تدعى أيها الاسدجاهدت في الله تيجاناً قد انعقدتعلى المظالم حتى انحل ما عقدوافما تمثلت للمخلوع في حلمالا رأى بك جيش الموت يحتشدكم باليراعة قد قومت ذا أودفهي الثقاف لمن أضحى به أودتصلى العدى لهباً منها إذا برقوايوماً وتمطرهم حتفاً إذا رعدواجهدت بالحق ان تعلو اشعتهكما أولئك في اطفائه جهدوابثثت في جسد الإسلام روح علاوكان رهن خمول ذلك الجسدفقد جذبت بضبع المسلمين إلىأوج الرقي ولكن أعوز الأمدسعيت سعي حريص باتحادهمحتى استجابوا لداعي الحق واتحدواوكان طوع مساعيك التي سلفتلو كنت تبقى لنا المستقبل الرغدان انكرت يدك البيضاء طائفةفالله خير شهيد انها ليدأغثت إيران حيث المستغيث بهاحشاشة ما لها صبر ولا جلدللمستبدين فيها كل واقعةمنها فرائص أهل العدل ترتعدفالمال منهبة والعرض معرضةللهتك والخصم في استعمارها حردفقمت بالحق اشفاقاً على فئةرأيتها رهن أيدي الجور تضطهدوقد تأسيت بالماضين في محنحتى وردت بها الورد الذي وردوافالشرق بعدك يا شمس السعود غدامآتماً لك بالأحزان تنعقدكانت حياتكم في الرزء سلوتناواليوم كل نعيم بعدكم نكديا بدر داجية تجلى الخطوب بهإذا اكفهر ظلام سوف تفتقدلو ان شمس الضحى من نورك اقتبستلم يخل من نورها أرض ولا بلدلو استعار نداك الغيث في كرمعم الرواء وفاض الجود والرفدلو ان بيض الضبا من عزمك انطبعتلم يغن عن دارع ان يحكم الزردكنت الغريب غريب الوصف نادرهفمثل أيامك الأيام لا تلدان الوجود تحلى منك جوهرةقدسية لا يداني فضلها احدما حط فضلك نقد الجاهلين بهبل كنت تزداد فضلا كلما نقدواتثني عليك رجال الفضل كلهموما يعيبك الا الجهل والحسدحيى صنيع اياديك السحاب ثرىاقام فيه التقى والعلم والرشدوقدست تربة ضمت صفايحهاروحاً إلى الله في رضوانه تفد,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 40</p>",أبو المحاسن الكربلائي,العراق,قصائد مدح,عموديه,بحر البسيط
