Poem,Number of Versus,Poet,Century,Label,Type,Metre
ليومك في الاحشاء وجد مبرحبرحت ولكن الاسى ليس يبرحمضيت وما ابقيت الا حشاشةتذوب واجفاناً من الدمع تفرحرمى الدهر عن قوس الحوادث اسهماصبها المجداودي والحوادث تفدحلك الخير لا تبعد فكل مسرةتبين إذا بان الحبيب وتنزحتغير وجه الصبح عما عهدتهفقد عاد من بعد التبسم يكلحنعيت به فاستشعر الحزن والجوىفؤاد به نار الرزية تلفحفما زلت مما راعني الصبح بالأسىاكابد منه روعة حين اصبحكأن فم الناعي وقد شب نعيهلنا النار زند في الجوانح يقدحكأن لساناً بين فكيه شفرةتقطع احشاء لنا وتجرحكأني قبل الاذن بالعين سامعفما صاح حتى ظلت العين تسفحفلله نعش بالسكينة سائريخف ويعلوه الوقار فيرجحيحجب غيم النعش شمس فضيلةغدت بعد اشراق إلى الغرب تجنحفلا عجب ان غابت الشمس ان ترىنجوم المئاقي في دجى الحزن تلمحأشبه بالشمس المنيرة فضلهعلى أنه أسنى ضياء وأوضحلقد اغمدوا في الترب منه صفيحةفلله ما وارى الضريح المصفحبكته القوافي وهويرثي وربمابسمن ابتهاجاً وهو يطرى ويمدحله السبق إذ لا حلبة غير منبروليس سوى خيل الفصاحة تسبحإذا ما جرى سبحاً لادراك غايةنكبر اجلالا له ونسبحكأن على الاعواد منه إذا ارتقىذراهن بحراً بالفوائد يطفحكأن بها من حبه أريحيةفمن طرب اعطافها تترنحإذا جمع الخصم الألد انبرى لهبوازعة تلوي الجماح وتكبحإذا نضبت يوم المقامة حجةعلى الخصم جاء البحر لا يتضحضحوكم أمد جلى إليه بغرةتقبل في يوم الرهان وتمسحبملتقطات من بيان وحكمةيحلى بها نادي الحجى ويوشحتزهد في الدنيا زواجر وعظهفيلقى فلاحاً فيه من شاء يفلحله مقول قد أوتي الحكم لم يزلباقليده باب الغوامض يفتحينال بعفو منه مالا ينالهأخو جدل في جهده ظل يكدحيقولون قس قلت ضل قياسكمفان جواد الهاشميين أفصحفقدناه فرداً لا يسد مكانهالوف من القوم الذين ترشحواأبا كاظم ان الرثاء تعلةوسلوة محزون به يتروحوفي كل رزء يحسن الصبر بالفتىولكنه في مثل رزئك يقبحإذا الدهر لم يسمح بمثلك فاضلافما عذر قلبي وهو بالصبر يسمحرثيتك عن قلب قريح وانمايجيد الرثا قلب الحزين المقرحنظمت لئالي الدمع فيك قصيدةوخير من الدر القصيد المنقحإذا ساءني حزن الفراق يسرنينعيمك في دار الخلود فافرحكما ان شعري في رثائك تارةينوح واخرى بالهنا لك يصدحكأن رياض الحزن اخلاقك التيتضوع بانفاس الرياض وتنفحلقد عاد روض الفضل بعدك ذاوباًونبت الربى بعد السحاب يصوّحسقى جدثاً هالوا على المجد تربهسحائب لطف تستهل وتدلحوشق بايوان الصفاء ضريحهوكان جديراً بالنواظر يضرحوفاز بريحان الجنان وروحهاكريم له ابوابها تتفتحفان له عند الحسين تجارةيفوز بها فوزا عظيماً ويربح,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 42</p>",أبو المحاسن الكربلائي,العراق,قصائد حزينه,عموديه,بحر الطويل
ذكرت نجداً وعهد نجدفخدّ صوب الدموع خدّيوحن قلبي لساكنيهاحنين ذي غلة لوردفيا نسيم الصبا إذا مااتيت نجداً فبث وجديقد طال عهدي فذبت شوقاًولم يبالوا بطول عهديان ضيعوا ودهم فانيعلى النوى حافظ لودىقد عللوا بالأسى فؤاديبمن قضى من نوى وصدّهيهات قاسيت ما لقوهكلهم في الغرام وحدي,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 7</p>",أبو المحاسن الكربلائي,العراق,قصائد حزينه,عموديه,بحر مخلع البسيط
بين العذيب وحاجر ربعينهل في عرصاته الدمعكانت قطوف الوصل دانيةفيه وكان لشملنا جمعفإذا ذكرت ليالياً سلفتبالجزع هاج غرامي الجزعاحمامة الوادي التي سجعتفي الدوح حيث يضمها الفرعما أنت من وجدي ومن كلفيشأني البكاء وشأنك السجعيا نازلين بسفح كاظمةهل للزمان بعهدنا رجعفتعود بالاحباب زاهرةحزوى ويجمع شملنا جمعاضحى مذاق العيش بعدكمسلعاً عشية اقفرت سلعواغن مثل البدر طلعتهمن حيث تم الخمس والتسعمن غير قطع كان يوصلناواليوم اعقب وصله القطع,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 10</p>",أبو المحاسن الكربلائي,العراق,قصائد حزينه,عموديه,بحر أحذ الكامل
الا من لقلب لا يبل غليلهوناظر عين لا تجف دموعهخليلي هلا تسعدان متيماًيرى كل يوم في النوى ما يروعهنأت دار احبابي وشط مزارهافبان عن الجفن القريح هجوعهوحاولت صبراً كان في الخطب جنتيفقالت لي الأيام لا تستطيعهفهل ما مضى من عيشنا بطويلعبرغم الليالي مستطاع رجوعه,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 5</p>",أبو المحاسن الكربلائي,العراق,قصائد حزينه,عموديه,بحر الطويل
أعظمت يومكم واشتدّ اعظاميلو لم أرض لقضاء الله أوهاميجليل رزئك لا يقوى له بشرينوء من حمل أحزان وآلامصك الأقاليم ناعي الفضل فاعتصمتخوف الهلاك بتمويه وايهامحتى إذا غلب الشك اليقين دجاليل الخطوب باسداف واظلاميا من أباح حمى التوحيد فاختلستأيدي المنون عميد الدين والحاميوكيف اجلا سحاب الفضل بعدرواوغاض لج الخضم الزاخر الطامييا مثقبا لضيوف العلم نار قرىتهدي إلى حكم غرّ واحكامومرشفا ظما الألباب ان وريتزلال تبصرة يشفى جوى الظاميرمتك اسهم دهر كنت غرتهفاز الرمي وطالت حسرة الراميفاصبحت ارسم التوحيد دراسةميلا دعائمها من بعد احكامفليندب الشرع والإسلام قطب حجىعليه دارت رحى شرع وإسلامحنت إليك محاريب التقى وبكتشجواً لأشرف صوام وقوامواعولت بعدك الأيتام فاقدةثمال مرملة حنت لأيتاملقيت وفد الردى جذلان مبتسمافجاء مستقدما من بعد إحجامولا سجيتك الحسنى التي كرمتلم يسع نحوك اقداماً باقداموأنت يا ناشد المعروف ممترياًسجال أو طف هامي الودق سجامأقرى لك الله مغناه فليس بهإلا مواقف تسليم والمامعرج على النجف الأعلى وحي بهقبر الزكي بتعظيم وإكرامسمي طه التقي الطاهر العلمالفرد المؤيد في نقض وإبراموقل سقتك ربيع الناس غاديةتغشي ثراك بارزام وارهامقد كنت للمهتدي والمجتدي كرمانجماً يضيء وغيثا بالغدى هاميادمى مصابك اجفان الهدى فجرىعلى الفريد فريد دمعه الهاميوسير الحزن في الاحشاء يصدعهامذ سار نعشك محمولا على الهاموشيعوا الآية الكبرى التي شرفتمن ان تحد بأفكار وأوهامتجلو به هالة المحراب بدر هدىحفت به انجم من دمعه الهاميقد نحلت جسمك التقوى فزدت بهاحسناً وبعض الضنا حسن لأجسامأحاط علمك بالاحكام يوضحهاكانه مستمد فيض الهامتخوض غامرها مستنبطاً غرراتبقى على كرّ أيام وأعوامرقيت حتى إذا لم تبق منزلةسموت للخلد فانعم أيها الساميوحث ركبك شوق الوصل معتقدانيل الجزيلين من فضل وانعامطوبى لمنتجع الرضوان قد زهرتعن منظر رائق للحسن بساموسرت منها نقي الذات من عرضيزهو لغيرك موصولا باثامفاذهب عليك سلام الله ما خطرتريح الصبا برياض ذات أكمام,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 33</p>",أبو المحاسن الكربلائي,العراق,قصائد حزينه,عموديه,بحر البسيط
شكت ايران مما قد عراهابلهفة واجد تذكو لظاهانعم هتفت وعجت بالمحاميفمن يحمي حماها من عداهاواضحت باحتلال الروس فيهامباحا بعد منعته حماهاهو الداء العضال فأين منهانطاسي يعجل في شفاهاابعد قيامها بالحق حتىاريقت وهي صابرة دماهاترد بخيبة الآمال منهاعلى حين اقتراب من مناهافنهضا ملة الإسلام نهضافان السيل قد غطى زباهااتغصب حقها ظلما وجوراويستولي الضلال على هداهاهبوا لا تستحق النصر منكماما تستنصرون لشرع طهإذا بلغت بايران الأمانيفليس لها مرد عن سواهاإذا لم تغن كتب العتب اغنتكتائب تستدير بهم رحاهاوان لم يشفهم كلم احتجاجتكلمهم اسنتنا شفاهاأإيران انعمى بالنصر عيناولا تذعر جفونك عن كراهافان وراء عزك ان تضاميحماة الجار مرهفة ظباهاصوارم آل عثمان المواضيتحل بها المعاقد من طلالهاحقوق جواركم والدين فيهموهم والله أكرم من رعاهالهم شرف الخلافة والمعاليوهم طلعوا بدوراً في سماهاوهم للمسلمين اعز ركنتمنع ان يطأول أو يضاهىواقلام من العلماء رقشسمام الحتف ينفث من شباهاإذا ما صاح دين الله هبوارأيت الأرض راجفة رباهااجاب دعاءه الإسلام حتىيغص بهم على سعة فضاهابأبطال إلى الهيجاء تمشىكمشي العاطشات إلى رواها,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 22</p>",أبو المحاسن الكربلائي,العراق,قصائد حزينه,عموديه,بحر الوافر
لك الله إني ما بعدت مُسَهَّدُوإني مسلوبُ العَزاءِ مُكَدَّدُوإنِّي إذا نَادَيتُ صَبرِي أجابنيسوابقُ من دَمعِي تجورُ وتُقصِدُتصعده الأنفاسُ من كِبدي دماًوتحدِرُه الأجفان وهو مورَّدُفَديتكِ ما شوقي كشوق عرفتُهولا ذا الهوى من جنس ما كنت أعهدُكأنَّ اهتزازَ الرُّمح في كبدي إذاتكشَّفَ بَرق أو بدا منك مَعهدُأُحِّملُ أنفاسَ الشمالِ رسائليولي زَفَراتٌ بينها تترددفإن هَبَّ في حيِّ سَموم فإنهابقيةُ أنفاسي بها تتوقَّدُولو كنتُ أَدري ما أُقاسي من الهَوىلما حَكَمَت للبينِ في وَصلِنا يَدُفلا يُنِكر التَّخلِيدَ في النار عاقلٌفها أنا في نارِ الغرامِ مُخَلِّدُ,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 9</p>",أبو الحسن الجرجاني,العصر العباسي,قصائد حزينه,عموديه,بحر الطويل
من عاذري من زمنٍ ظالم ليس بمستحي ولا راحم تفعلُ بالأحرار أحداثُه فِعلَ الهوى الدَّنفِ الهائمِ كأنما أصبحَ يرميهمُ عن جَفنِ مولاي أبي القاسم,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 3</p>",أبو الحسن الجرجاني,العصر العباسي,قصائد حزينه,عموديه,بحر السريع
الزير أنشدَ شعراً من ضمائرهالعز بالسيفِ ليس العزُ بالمالِ شيبونٌ ارسلَ نهارَ الحربِ يطلبنييريد حربي وقتلي دون ابطالي نصحتهُ عن حربي فلم يطاوعنيبارزتهُ فهوى للارضِ بالحالِ المالُ يبني بيوتاً لا عماد لهاوالفقرُ يهدِّمُ بيوتاً سقفها عالي دَعْ التقاديرَ تجري في اعنتهاولا تبيتنَ الا خاليَ البالِ ما بين لحظة عينٍ وانتفاضتهايغيرُ اللهُ من حالٍ الى حالِ فكن مع الناسِ كالميزانِ معتدلٌولا تقولنَّ ذا عمي وذا خالي العمُ من انت مغمورٌ بنعمتهِوالخالُ من كنت من اضرارهِ خالِ لا يقطعُ الرأسَ الا من يركِّبهُ.ولا تردُ المنايا كثرةُ المالِ,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 9</p>",عدي بن ربيعة,العصر الجاهلي,قصائد حزينه,عموديه,بحر البسيط
كفى حزناً أني أناديك دائباًكأني بعيد أو كأنك غائبواسأل منك الفضل من غير رغبةفلم أر مثلي زاهداً وهو راغب,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",أبو الحسين النوري,العصر العباسي,قصائد حزينه,عموديه,قافية الباء (ب)
