Poem,Number of Versus,Poet,Century,Label,Type,Metre
من مبلغ عني أبا صالحقول محب صادق الودما بال مشتاق إلى وصلهمعذب بالهجر والصدلا يهتدي الأنس إلى مجلستغيب عنه طلعة المهديونحن كالعقد انتظمنا فهليزينه واسطة العقد,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 4</p>",أبو المحاسن الكربلائي,العراق,قصائد شوق,عموديه,بحر السريع
يا حمام الأيك من سفح الحمىهزجاً يشدو بروض مونقهجت بالنوح مشوقاً مغرماًلم تدع فيه النوى من رمقخذ بالحانك في ايك وبانواجتني الأزهار من روض الربيعلك في شرح الهوى احلى بيانواصفاً معناه بالوصف البديعان يكن مثلي عنك الألف بانفهلم الشجو جهد المستطيعوابك واستبك وطارحني فمايسعد الشيق غير الشيقارق الدمع ترق عيني دمامن حشى ذاب بنار الحرقهل يباري الصب شاد غردرغد العيش قرير الناظرليس يدري ما الجوى والكمدلا ولا بات بليل الساهرلو يقاسى لوعتي أو يجدما تغنى فوق غصن ناضرأو رماه البين فيمن قد رمىشفه فرط البكا والارقواعتراه السقم مثلي وحمىجفنه طيب الكرى في الغسقرب ليل في النوى ساج طويلبت ارعى في الدياجي زهرهليس لي فيه سوى شكوى الغليلمن هوى يصلى فؤادي جمرهكلما لاح سنا البرق الكليلحل من سمط دموعي درهوالصبا تذكي لقلبي ضرمابذكي من شذاها العبقنقلت طيب حديث قدماعن ليالي وصلنا بالأبرققصرت فيهن ساعات الوصالقاصرات الطرف من فرط الخجللبست برد نعيم وجمالفلها حلية حسن في العطلوإذا ما بلغ الحسن الكمالجل عن لبس حلي وحللحسبها من لؤلؤ ان تبسماعن لئالي ثغرها المنتسقمعدن من جوهر قد نظمايجتنى منثوره في المنطق,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 22</p>",أبو المحاسن الكربلائي,العراق,قصائد شوق,عموديه,بحر الرمل
تركت على عز بلادي هاجراًمنازل مجد بالنعيم زواهرافكم قائل أدركت رشدك سائراًوقائلة مالي اراك مهاجراعن الأهل جواب الجبال الشواهقتفرعت من اصل الفخار ونجرهفجئت صميماً من خلاصة سرهفأنت الذي دان الزمان لفخرهوأنت زعيم القوم واحد عصرهكريم المساعي راتق للفواتقبلادك قد حنت فهل من تحننعلى ذات شجو من فراقك مكمنفعد لبلاد أنت مفخرها السنيفقلت لها كفي الملام فاننيبصير خبير عالم بالحقائقسبرت زماني باختلاف شؤونهوميزت خبرا غثه من سمينهفما أنا بالباغي ورود معينهولكنني ممن يفر بدينهإلى شاهق صعب الذرى بعد شاهق,,أبو المحاسن الكربلائي,العراق,قصائد شوق,عموديه,بحر الطويل
لعل النوى تدنو فتجتمع الشملفلا عيش الا من وصالك لي يحلوفدى لك نفسي كيف ما شئت فاحتكمفمثلك لا يسلى ومثلي لا يسلوما أنت ذو مثل فاسلو بغيرهلأنك ذو حسن يعز له المثليلوم على فرط المحبة عاذلواضيع شيء في محبتك العذلإذا كان حكم الذات اشرف مبدأفحكمك يا ذات الجمال هو العدلحياتي ولا من عليك لك الفدافمن واجب الحب المفاداة والبذلوحبك اقوى إذ ينازع سلوتيواصلح فليبق الهوى إنه الأصلوما أنا إلا عاشق قد تقاسمتهواه المعالي الغر والحدق النجلوما اختلفت سبل الهوى غير اننيأواصل نهجاً فيه تأتلف السبلمعاني جمال غير ما افتتنوا بهفلا حور العينين منه ولا الكحليقولون حد العشق حب مخامروذلك جنس والثبات له فصلإلى الفضل يعزو نفسه غير واحدوما كل معزو يقر له الفضلوكم مدّع حب الحقيقة وحدهوليس له منها دنو ولا وصلوما أسعدت سعد هواه بنظرةولا جاملته في محبتها جملومن كان ذا رهط فأهل طريقتيهم الرهط لي دون الأقارب والأهلرجال قليل غير ان غناءهمزكثير فلا صير عليهم إذا قلواوقد سامهم عز الحياة نفوسهمفاعطوه منها ما يعز وما يغلووفي الناس قوم كلما ذر شارقلهم صبغة يبدونها ولهم شكلغرسنا لهم مجداً فعدوا جنايةلهم غرسنا حتى اجتنوا منه ما يحلوفان تك قيس اخطأت بقياسهافما ذهلت عما تحاوله ذهلولي نفس حر لا تقر ظلامةإذا اسرى غيري الظلامة والذلوصارم عزم لا يكل غرارهقراعاً ولا يخشى على حده الفلوعندي من الأخلاق مالا يذمهجليس ولا يخشى بوادره الخلوأكرم اخلاق الفتى البأس والندىوألامها جبن النقيبة والبخلواسنى العطايا والمواهب كلهاهو العلم ينميه وينمو به العقلولا عيب في حلم سوى أن أهلهيضامون الا أن يحوطهم الجهلأويت إلى ظل الشباب فطاب ليبه العيش لكن لم يدم ذلك الظلأرى الشعرات البيض رسل منيةإذا كذبت رسل تعززها رسلوقلت لضيف الشيب إذ حل نازلالك البشر عندي والكرامة والنزلفأنت الذي اتحفتني بنفائسهي الحزم والتدبير والحلم والنبل,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 30</p>",أبو المحاسن الكربلائي,العراق,قصائد شوق,عموديه,بحر الطويل
شاقه في الظلام برق كليلفصبا قلبه وهاج الغليليا له مغرماً إذا الشوق اضناه شفى قلبه النسيم العليلقد شكرنا نسيم نجد بتبليغرسالاتنا فنعم الرسولغير اني يغيرني منه تجميشخدود الحبيب والتقبيلوكحيل الجفون غادر جفنيصبوة وهو بالسهاد كحيلفاتر الطرف فاتك بالمعنىمثلنا يفتك الحسام الصقيلاشنب الثغر بالتبسم يجلواقحوا ناسقته راح شموليتثنى كانه غصن بانغازلته مع الصباح قبولضرج الحسن فوق خديه ورداًعبق النشر لم يشنه الذبولوحمته عقارب الصدغ حتىليس للمجتنى إليه سبيلفاق في حسنه الملاح كما قدفاق في مجده الاثيل جميلماجد من ارومة قد زكت منهافروع شم وطابت اصوليجتلى الناظرون منه محياًنيرا للعلاء فيه دليلينتضى للخطوب مرهف عزمماضي الحد ما اعتراه الفلولفاضل طاهر النقيبة محمودالمساعي زاكي النجار اصيلكالدراري لاحت له مكرماتباقيات لا يعتريها افولجاد فيه الزمان من بعد بخلربما جاد بالنفيس بخيلملكت قلبه العلي وهو في المهدرضيع لا الغادة العطبولصبغ من معدن الفخار له تاج له من جلاله اكليلشرف ناصع وعز رفيعقد رسا فهو ثابت لا يزوليا سليل الكرام قد جل من أنتله حين تنتميه سليلقام للشرع هادياً يقتدى العارف فيه ويهتدى الضليلمسبغاً في البلاد ظلا من العدل ظليلا للناس فيه مقيلفلكم بدعة أمات واحياسنة قد دعا إليها الرسولنصر الله دولة جردتهمرهفاً للعدى به تنكيلرتبة طالت السماء فخاراًمالها عن علاكم تحويلمن لها غيركم وقد نزل المجدبأبياتكم وعز القبيلواسود الشرى إذا هي غابتخلفتهن في الطباع الشبولمعشر عندهم يباح حمى الوفرلمن جاءهم ويحمي النزيلأنتم والعلاء تشهد اكفاءالمعالي وغيركم مدخولقد رآك السلطان دام له التأييد شهماً من حقه التبجيلفاستهلت منه سحائب لطفآذنت ان سينجح المأمولفابق للمكرمات ما لاح برقوهمت مزنة وطاب اصيل,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 33</p>",أبو المحاسن الكربلائي,العراق,قصائد شوق,عموديه,بحر الخفيف
وارعى نجوم الليل شوقا الأوجهتطلعن في ليل الذوائب انجماإذا جرت الاجفان غرب دموعهاذكا جمر أشجاني بها وتضرمافلله أيام بحزوى تصرمتوابقت جوى في القلب لن يتصرماربوع جمال كم اقام بها الهوىبغير رقيب للمحبين موسماجنيت بها الورد المضرج وجنةوقبلت فيها الأقحوانة مبسماوعانقت غصن البان قد امهفهفاعناقي في الروع الوشيج المقومادع الحي أنى شاء خيم إنهأقام بقلب المستهام وخيماإذا العارض الساري تهلل ودقهفجاد ربوعاً بالعقيق وارسماعسى شمل أنس بددته يد النوىيعود كما شاء المشوق منظماويا رب ليل بت فيه منعمابوصل وغازلت الغزال المنعماغرير يحيينا بوردة خدهونسقي الرحيقين المدامة واللمىفلي نشوة من راحة ورضا بهولكن راح الثغر انقع للظماوغيداء يا الردف ضامية الحشىلها الحسن يعزى والملاحة تنتمىإذا خطرت غنى الوشاح بخصرهافأفصح والخلخال اصبح اعجماوتشدو بالحان الغرام صبابةفتعرب عن اسحاق فيها ترنماجرى عن دم الأحشاء دمعي فضرجتبه وجنة الخود الجميلة عندمافريدة حسن تخجل البدر طلعةإذا قابلت في وجهها قمر السمااحلت دمي من غير ذنب وصيرتسلوي وان طال الزمان محرمابطرف وجيد والتفات ونظرةتعلمها ريم الفلا فتريماوخصر أعار الجسم سقماً ووجنةاعارت فوادي جذوة فتضرمافيا واصفاً قد أوصفت مشاهداويا واصفاً خصرا وصفت توهماكتمت هواها غير ان مدامعاًجرين فأبدين الغرام المكتماإذا منع الواشي على كلامهافما منع الاحشاء ان تتكلماأنازع قلبي سلوة فيقول ليرضيت بسيف اللحظ فينا محكماعلى نحرها عقد كأن فريدهمن الثغر أو من لفظها قد تنظماوقد لبست وشي الجمال مهللاكما لبست وشي الحرير منجماترى ان فيض الدمع في العين خلقةبما لا ترى الامشوقا متيماحمت ورد خديها عقارب صدغهاعلى عاشقيها ان يثم ويلثماوترسل في الأرداف وارد شعرهافينساب في حقف من الرمل ارقماورب خلي لامني ولوانهرماه الهوى مثلي لأصبح مغرمايحاول سلواني واي متيماطاع بسلوان الأحبة مغرمااشيم وميض البرق في غلس الدجىفأحسبه ثغر الحبيب تبسماوانشق نفح الطيب يأرج مسكهإذا ما نسيم الحي صبحاً تنسماواذكر أيام الحمى ونعيمهافتجرى بتذكار الدمى ادمعي دماإذا ما رنا ظبي الكناس بطرفهتقنص من اسد العرينة ضيغماولم يدر من أودى بأعين سربهترامين لحظا أم ترامين أسهماولم أر كالألحاظ وهي فواترفواتك فينا ظالماً متظلمايذود ويحمي العين ان ترد الكرىتذكر عهد بالعقيق تقدمافحياه ان لم يروه الغيث عارضتجود به كف تكرماوفي الغيث ري للثرى غير اننيرأيت الايادي أكرماوماذا عليهم ان يمنوا ويسمحوابطيف خيال يعتريني مسلمافدون تلاقينا غيارى تحوطهاوتمنع حتى الناظر المتوسماتسجف عزا بالحديد خدورهافلو رام اقداماً بها الليث احجمافهل نوهوا باسم الملكفهابت به اسد العرين التقدماهمام إذا الابطال في الحرب عبستاشاح إليها ضاحكا متبسماوتستبشر العقبان في غزواتهفهن مع الرايات يجنحن حومايثقن بان النصر رائد جيشهفمن جثث الأعداء يطلبن مطعمايعود من الفتح الجليل مظفراولم يصطحب الا المكارم مغنماوتنتجع الوفاد روضة بشرهفتلقى به بحر السماحة مفعماتقسمت الأفكار في مدحه كماغدا وفره بين الوفود مقسماكتائبه كتب تجر إلى العدىمن الرعب خفاق البنود عرمرحا,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 51</p>",أبو المحاسن الكربلائي,العراق,قصائد شوق,عموديه,بحر الطويل
إذا جن الظلام علي أبديمن الشوق المبرح ما اجنواذكر عهدكم فاكاد شوقاعلى اني الرصين حجى اجنأيرجع بالطفوف زمان وصلفيرجع عيشنا البهج الاغنأحن وهل يلام أخو غرامإلى أحبابه شوقا يحن,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 4</p>",أبو المحاسن الكربلائي,العراق,قصائد شوق,عموديه,بحر الوافر
اعاني من بعادك ما اعانيفهل بعد التنائي من تدانيوليس يغيب شخصك عن ضميريعلى بعد المنازل والمغانيولكن لا يبل غليل شوقيإليك سوى مشاهدة العيانابيت مؤرقا ولي اشتياقيكل بوصفه قلم البيانواذكر سالفا من عهد أنسبلغنا فيه غايات الأمانيوكنا منه في عيش رغيدترف به ازاهير الجنانفعوداً يا ليالي الوصل عوداًإلى صب بأسر الشوق عانيإذا ذكر الحسين يكاد شوقايطير من الطفوف إلى المشاناغر يشف عن خلق جميليماثله بأخلاق حسانتجلى في سماء المجد بدراًفأشرق من سناه النيرانله الشرف الاصيل وبيت مجدبفرق النجم مضروب المبانيله القدح المعلى في المعاليوفضل السبق في يوم الرهانفريد الفضل ينظم في علاهفريد الحمد تنظيم الجمانبه ابتهج الزمان وحاز فخراوحق بمثله فخر الزماناتاني يا بديع النظم شعرحوت الفاظه غرر المعانيوقد ضمنته سحرا حلالايهيم بحسنه الحسن بن هانيفاجهدت المجاري والمباريعلى ما نلت من عفو العنانبقيت مخولا بنعيم عيشانيق بالمسرة والتهاني,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 18</p>",أبو المحاسن الكربلائي,العراق,قصائد شوق,عموديه,بحر الوافر
شوق نفى عن جفوني لذة الوسنفبت رهن الأسى والوجد والشجنوذكر عهد هوى حن الفؤاد لهكما يحن غريب الدار للوطنصبابة يستدر الدمع لاعجهافيستهل بصوب العارض الهتنالله أي نوى من دونكم عرضتفعرضتني للتبريح والحزنيذكي جوى حسن ذكر الحسين ولابدع فان حسينا سلوة الحسناغر ابلج من لاحت فضائلهكانها غرة في جبهة الزمن,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 6</p>",أبو المحاسن الكربلائي,العراق,قصائد شوق,عموديه,بحر البسيط
ضِرامُ الحب عشش في فؤاديوحضنَ فوقه طيرُ البِعادوأنبذَ للهوى في دنّ قلبيفعربدتِ الهمومُ على فؤادِي,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",أبو العنبس الصيمري,العصر العباسي,قصائد شوق,عموديه,بحر الوافر
