Poem,Number of Versus,Poet,Century,Label,Type,Metre
أصابت سهام الحتف يا حسرة الدهرصريح قريش والخلاصة من فهرلقد نثل الدهر الكنانة رامياًحشاشة نفس من كنانة والنضرنعى البرق غيث الناس في كل أزمةوعهدي به قبلا يبشر بالقطروقد حملت أسلاكه نبأ بهتقصف اسلاك الأضالع والصدرنعى وهو لم يعرف حقيقة من نعىإلى الناس والرامي يصيب ولا يدريفلا شيء أقوى منه إذ خف سائراًبخطب وهي فيه الشديد من الأسروبرقية في قلب كل موحدلها قبسات من ضرام ومن حرّمضى علم الاعلام والآية التيحوت حكماً أجلت عن العدو الحصروقد غاب عن أفق الهداية نيريجل عن التشبيه بالشمس والبدرتنكر وجه الصبح يوم وفاتهوفي الوجه عنوان السلامة والنكروروعنا رأد الضحى ثم صرّحتظهيرته فينا بقاصمة الظهربكى الركن حزناً والمقام برّحترزية اسماعيل بالبيت والحجروقد أوحش المحراب حزناً لقائمبه الليل يحيى بالصلاة وبالذكرفقيد نسينا آية الصبر بعدهفهل نسخت من بعده آية الصبرفمن لمحاريب التقى ومجارسمكللة أعوادها منه بالدرمحياه يتلو آية النور هادياًويتلو علينا مجده آية الطهرأصورته هاتيك أم هي سورةلناظرها أجر التلاوة والذكرفيا جوهراً زان الوجود بهاؤهوسبحان بارى جوهر اللطف والبرفغالت به الاقدار واستأثرت بهوقد كان أهلا للمغالات بالقدرلقد كان في الدنيا منار هدايةبه يهتدي في ظلمة الليل من يسريوغامضة لا يدرك الفكر نهجهاأنار دياجيها بثاقبة الفكريعز على الإسلام فقد حميهوناصره إن قيل أين أولو النصرأقول وقد ساروا به يحملونهإلى القبر مإذا تحملون إلى القبرحملتم يداً بيضاء كانت بجودهاعلى السنة الشهباء أندى من القطرطواه الردى طي الرداء وذكرهبنشر المساعي لم يزل طيب النشررأيت حياة المرء ظلا وإنماتدوم حياة المرء بالحمد والذكرثمانون حولا قد طواهن قائماًبتشييد دين الله بورك من عمرولله نفس أخلص الله سرّهافيا قدّست نفساً وقدّس من سرّأمن عنصري ماء وطين تكونتخلائق أم صيغت سبائك من تبروبالخلف الباقي لنا خير سلوةوإن كان لا يسلى الفقيد مدى الدهرفما أفلت شمس الامامة والهدىعن الأفق حتى أشرق الكوكب الدريوما جن ليل الخطب حتى تصدّعتدجى الليل بالمهدي عن فلق الفجرإذا ما ابو المهدي ودّع راحلافمهديها من بعده صاحب الأمريجود رياض الفقه صيب علمهفتزهو رياض الفقه بهجة الزهرولو لم يمد البحر زاخر فضلهلما قيل في الامثال حدّث عن البحرفيا سائلاً عن اسرة المجد والعلاوأهل العلوم الغر والأوجه الغرهم آل صدر الدين فاقصدهم تجدمنار الهدى والعلم والمجد والفخرمصابيح إيمان مفاتيح حكمةلهم ألسن بالحق تنطق عن خبرنوال بلا من وحكم بلا هوىوحلم بلا ذل وعز بلا كبرإذا مات منهم سيد قام سيدففي كل عصر منهم بهجة العصررسالة شرع المصطفى اليوم فوضتإلى الحسن الزاكي النقيبة والنجرهو الحبر إلا أن آيات فضلهمحررة بالنور لا النقش والحبروبالندب صدر الدين يعتصم الرجاواعظم به ذخراً لملتمس الذخرأرى الدين قلباً وهو صدر يصونهحفاظاً وهل قلب يصان بلا صدرومن بالغ شأو الجواد وحيدرلدى حلبات العلم بالجري والكرّفداموا دوام الانجم الزهر في السماعلى انهم أهدى من الانجم الزهر,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 46</p>",أبو المحاسن الكربلائي,العراق,قصائد عتاب,عموديه,بحر الطويل
جئت يا دهر بالرزية بكراًغادرت مهجة الهدى وهي حرّىانما اقصدت سهامك نفساًيطلب الدين دخلها والوترالم تصب واحداً من الناس لكنأوحد الناس في الفضائل طرّافهوى لا هوى من الشرع ركنلم يزل باذخ الذرى مشمخراكل مصر اقام مأتم شجولمصاب العزيز في الناس قدراقسم الحزن للقلوب فكلحاز سهماً لمقتل الصبر يبرىوثوى حبرها الفقيد بقبرمن رأى القبر قبله ضم بحرامات لكن ذكره في خلودانما المجد مجد من عاش ذكرااصبح الناس محرمين من اللذات قد اشعروا المدامع نحراازمع الصبر عنهم إذ رآهمقد تراموا بجمرة الحزن نفراأو مض البرق ناعياً فاستهلتسحب الدّمع فهي تبكيه عبرىنعت الكهرباء جوهر فضلكان للآملين كنزاً وذخراسلكه بين رنة واهتزازواصفاً في حشاه خوفاً وذعراكم نفوس في ربقة الحزن اضحتوهي اسرى للبرق ساعة اسرىسلكه قطع القلوب فهلاقطع السلك فهو بالقطع احرىهل درى لا استقل فيه عمودانه قد نعى العميد الاغراما عهدنا الحمام يفري شبا السيفويردي وسط العرين الهزبراعم آفاقها مصاب فقيدعمها نائلا وجوداً وبشرايا فقيهاً له شرايع فضللم تزل في الزمان منهن ذكرىكان للسمع من حديثك عقدنظمته الرواة في السلك درّافغدا الدر في المسامع لمانعي الفضل في الاضالع جمراغكم مقام شهدته فتجلتظلمة الشك مذ تجليت بدرافانثنى الخصم ليس يملك نبساًوسطا النحل وهو يهدر هدراعادت الالسن الفصيحة خرساًبك والاعين الحديدة حسرىلك في المشكلات ثاقب فكركلما اظلمت تبلج فجراتفصل الحكم ناطقاً ببيانساطع يجتلى الكواكب زهرامثل سيل العقيق يجري فيلقيدرراً من معادن الحكم غرّاويراع إذا جرى فوق رقحاز رق البيان نظما ونثراليس ينفك ينتقي اللفظ فحلاويزف المعنى إلى السمع بكراوإذا حبر الكلام استمد الشهدوالخمرة السلافة حبراوحديث البيان قد صح عنهفهو فوق الطروس ينفث سحراولو ان المداد لم يك خمراًما وجدنا عقولنا وهي سكرىاكبر الفيلسوف نقدك لمّاان رأى آية الكتاب الكبرىان يكن عاد للطبيعة عبداًفلقد عدت بالشريعة حرّاحجج صدعت بنور هداهاليل شرك من الضلال اكفهراكنت نعم النصير للدين لماهتف الدين قائلا لك نصراقال قوم بأن شبلي شميلليث غاب فقلت صادف بشرا,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 37</p>",أبو المحاسن الكربلائي,العراق,قصائد عتاب,عموديه,بحر الخفيف
وشادن أورثني حبهكالائتلافيين حزناً طويلعز علي الوصل منه كماعز عليهم موقف الدردنيلوالكل منا لم ينل قصدهوهكذا من طلب المستحيلقد همت بالثغر وهاموا بهوالثغر ناء ما إليه سبيلوفتحه كان لهم منةومنيتي ان ارد السلسبيلاشكو ويشكون الهوى والوغىفكلنا يصلى بنار الغليليا دولا فرت اساطيلهافرار سلواني وصبري الجميلدماؤهم مثل دموع النوىعلى الظبا والخد سالت مسيلقد صادني الظبي ولكنماقد صادهم من تركيا اسد غيلأودت بهم بيض حداج كمابالصب أودى سيف لحظ كليلودعت قلبي يوم ترحالهوودعوا الشوكة يوم الرحيلقد رجعوا بالعار لكننيرجعت في الحب بمجد اثيلقد جدت للحب بنفسي وهمقد اثروا جبناً حياة الذليلان ندوا اليوم على ما مضىفلا اقيلت عثرة المستقيل,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 14</p>",أبو المحاسن الكربلائي,العراق,قصائد عتاب,عموديه,بحر السريع
قد كانت الآمال معقودةفيك وللأمال تضليلواليوم لا عندي رجاء بهأسلو ولا عندك تنويلأفدتني إن لم أفد نائلاإن الأماني أضاليلكأن سيباً لو مننتم بهشيب على المفرق محمولإن فاتني النيل فقد فاتكممدح كخد الروض مصقولإن البهاليل لهم صبوةبالحمد فلتحي البهاليللا ربعهم جدب ولا رفدهمصعب ولا الموعد ممطولتصدق الأقوال أفعالهمإن كذبت منك الأقاويلواضيعة العمر الذي قد مضتبرغده منك الأباطيللا ترج من ليس له بالثناحق ولا بالمدح تاهيلفليس للباذر في سبخةريع سوى الحرمان مأمول,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 11</p>",أبو المحاسن الكربلائي,العراق,قصائد عتاب,عموديه,بحر السريع
سواي على الضيم يبقى رهيناوغيري يرى ضارعاً مستكيناوما بين جنبي نفس العزيزيأبى لها عزها ان تهوناواني لاجمع شمل الصديقعلى خلة لا تسيء الظنوناولست اعاطيه ضد الصفاءهوى ظاهراً ونفاقاً دفيناوامضي على معضلات الأموروان لم اجد غير سيفي معيناوارمي إلى الحمد لحظ البصيروعن كل ذم اغض الجفوناسريع إلى ما يزين الفتىبطيء على ما يشين القرينافأن ترني قد جعلت الاباءسجية ابائي الغر دينافأني انمى إذا ما انتميتإلى الصيد من يعرب الأكرميناارومة مجد على الزاهراتمدت فروع العلى والغصونافلاحت مساعيهم انجماتضيء وتشرق للناظرينبحور نجى تستمد البحورمنها ولكن زلالا معيناوفي السلم والحرب ايمانهمتنيل المنى أو تبث المنونافيوم القرى ينصبون الجفانويوم الوغى يكسرون الجفوناسل الدهر يخبرك عن مجدهمفان لديه الحديث اليقينامشوا والزمان جديد الشبابيلفون أعوامه والسنينافشاب ومجدهم لا يزالعلى قدم العهد غضا مصونايرنح اعطافه ناشراًعليها ذوائبه والقرونااعد في شمائلهم نظرةتجد حسنها ظاهرا مستبينافلم تر بالوفر إلا الجوادولم تر بالعرض إلا الضنيناشمائل يذكو شذا طيبهافتأرج السنة الواصفيناهم المسرعون إذا ما دعوالمكرمة وهم السابقوناهم المرخصون بيوم الكفاحنفوساً تغالى على المرخصيناإذا وعدوا الوعد لم يخلفواوكانوا لموعدهم منجزينامصاليت حرب يخوضونهالعزمتهم والضبا مصلتيناإذا قصر الروع فيها الخطىمشوا كالجمال لها مر قليناإذا انجلت الحرب عن مغنمفغير المكارم لا يغنموناولا يذخرون سوى المكرماتإذا ذخر القوم علقا ثمينالهم حكمة القول عن السننواطق بالحق لا يمترينالهم عزة الجار في منزلبه الجار يأوي المحل الأمينالهم شدة الباس في موطنتخور به الأسد ضعفاً ولينالهم انمل تنشئ الغادياتفينتجع الجدب غيثا هتوناهم القوم ثلوا باسيافهمعروش الملوك ودكوا الحصوناوحلوا معاقد تيجانهافاضحت مغانم للفاتحينابنور العدالة قد أسفروافاجلت بهم ظلمة الظالميناوعلمهم الساطع المستنيراضاء التمدن للجاهلينافيا ساقي الكاس علل بهاحشى ملأتها الليالي شجوناوحدث عن العرب ان الحديثعنهم يسلى الفؤاد الحزينااعد ذكر أيامنا السالفاتتحن إليها المعالي حنيناوعرج لأيامنا الحاضراتتجدنا بها طعمة الاكلينافابلغ نزار وقحطانهاجميعا قبائلها والبطونامغلغلة تستثير الهموموتغري بهجر الرقاد العيوناوقل لهم يا حماة الذماروابطال يوم الوغى المعلمينابكم بني الدين حتى استقامواصبح ركن هداه ركيناواخضعتم فيه كل الشعوبفرساً وروما وهنداً وصيناإذا ذكر الدين كنتم لهابر البنين فنعم البنونافعودوا لنصرته مثلمابدأتهم بنصرته منجدينافأوطانكم بعد عز الحفاظقد اصبحت نهزة الطامعينايسوم الصليب اعزاءهاويا لهف نفسي ذلا وهوناويا مسلمي الأرض ان الصليبعلى الدين أوقد حرباً زبونايريد البلاد مسيحيةترن النواقيس فيها رنيناوتغدو جوامها الزاهراتوهن كنائس للراهبيناالا تغضبون لدين الإلهفقد حان ان تنهضوا مغضبيناالا تغضبون لشرع النبيخير الورى اشرف المرسليناالا تغضبون لأوطانكمفقد اصبحت للاعادي رهوناالا تغضبون لأحسابكمفقد اصبحت عرضة الواصمينافأيران مملكة الاقدمينغدت وهي ملعبة المحدثينافانكلترا في جنوب البلادأصابت مكان الاماني مكيناوقد نفذت روسيا في الشمالفنوذ المملك في التابعيناوتلك مراكش ذات الكيانهانت وما خلتها ان تهونافحل الفرنسيس ارجاءهابجيش الحماية مستعمرينالقد ضيع الملك عبد الحفيظفلا ائتمن الملك ذاك الخؤوناومصر تقاسي من الاحتلالبرغم الغيارى عذابا مهينامتى تنبري وهي مأوى الكرامفتقرى الضيوف بها النازلينابطعن الاسنة تفرى الكلىوضرب المواضي تقد الشؤونامتى تجمع الهند ابناءهالأخذ الحقوق من الغاصبينافقد سلبوا عزها والفخارواستعبدوا أهلها المالكيناوهذي طرابلس لا تزالتكابد بالجهد حرباً طحوناكان خدور ذواة العفافقلوب شعبن من المسلميناكأن مسيل دماء الصغارمسيل جفون عليهم بكينافصبراً على الحرب ايطالياوان جنت الحرب ما تكرهينافمن رام ما رمته لم يكنبغير قوى بأسه مستعيناوأنت إذا طحنتك الوغىفزعت إلى الدول المصلحيناورعت النساء واطفالهاومشيخة القوم والعاجزيناهلموا نحاكمكم للضبافتقضي بالحق فيكم وفينافلسنا وان ضرستنا الحروبندين لمؤتمر الحاكميناركنتم إلى صلحنا والسيوفتأبى لنا الصلح والمسلمونافإن طرابلس للمسلمينجميعا يحامونها اجمعينافلا صلح ما بيننا أو يفزاقوى الفريقين عزما وديناولا صلح ما بيننا أو تدوردوائر سوء علىالمعتدينافان شئتم صلحنا فاتركوالتلك الضراغم ذاك العريناوان شئتم صلحنا فاخضوالحكم الضبا وارجعوا صاغرينااضاليل نفس بليتم بهاوأوطان قدس بها قد بليناونحن وفينا بوعد الثباتعلى الحرب لكنكم لا تفوناسراب مني قد خدعتم بهفلا نفعت غلة العاطشينافعدتم ظماء واسيافنابماء الطلى منكم قد رويناونزهتكم اصبحت محنةمن الدهر تنظم حينا فحينا,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 87</p>",أبو المحاسن الكربلائي,العراق,قصائد عتاب,عموديه,بحر المتقارب
وكنا زمانا نبل الهمومونطفي الجوى بزلال الأمانيفينعم عيشاً بهن الجنانكأنا بها في نعيم الجنانفصرنا إلى زمن ليس فيهمن لاعج الهم روح لعانشغلنا به عن حديث المنىببث الهموم وشكوى الزمان,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 4</p>",أبو المحاسن الكربلائي,العراق,قصائد عتاب,عموديه,بحر المتقارب
جفاؤكَ كُلَّ يَومٍ في مزيدِوما تَنفكُّ تُشمِتُ بي حَسُودِيفإن يكنِ الصُّدودُ رضاك فاذهَبفإِنِّي قد وَهَبتُكَ للصُّدُودِفحسبيَ منكَ أن يَهواكَ قلبيوَحَسبُكَ أن أَزوُرَكَ كُلَّ عِيدِ,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 3</p>",أبو الحسن الجرجاني,العصر العباسي,قصائد عتاب,عموديه,بحر الوافر
أسأتُ إلى نفسِي أُريد لها نَفعَاًوقارفتُ ذَئباً لا أطيقُ له دَفعارَمتني كَفّي أسهماً لم أجد لهاإلى أن أصابَت أسهمي مَقتَلي وَقعاوكم خطأ لو ساعدَ المرءَ جدُّهلَعُدَّ صوباً واستزادَ به رَفعاوذَنبي عظيمٌ غير أنِّي تائبٌومن تابَ إخلاصاً فقد بَذَلَ الوُسعاولو أَنَّ تأديبَ الأميرِ لعَبدهبقاض على العاصين أَوسعَهم رَدعاولو خانَه فرعونُ آمناً طائعاًوإن لم يُعد موسى العصا حيَّةً تَسعىَولو كنت ذنباً كنتُ في جَنبِ حِلمِهخبالَ هَباء ما يُجَابُ ولا يُدعىوقد زاد في جُرمي تلاعُبُ مَعِشرٍبألسنة لم تلق من ورَع فسمَعاحكوا أنني استصغرت نعمته التيعلوتُ بها الأفلاكَ والرُّتبَ السَّبعانبذتُ إذاً ذمَّتي وفارقتُ مِلَّتيوخالفتُ في توحيدي العقلَ والشَّرعاوإن كان لفظَي أو لساني جرى بهفلا باتَ إلاَّ وهوَ مُستوجبٌ قَطعاوهل أَجحدُ الشمسَ الُمنيرةَ ضوءهَاوأَزعُمُ أن الغَيثَ لا يَنبُتُ الزَّرعَافإن كان ما قالوه حقاً كَمَا حَكَوافَلِم جئتُ من بعدُ إلى بَابِهِ أَسعَىفلا زال مَن وَلاَّه ينتظرُ الُمنىولا زالَ مَن عاداه يَرتقبُ الفُجعاولا زالت الأيامُ تُهدَي بشارةًإليه تُرِي في قَلبِ حاسِده صَدعافتوحاً تَوَالي واحداً إثر واحدٍكما تتبع الألفاظ في سَجعها سَجعا,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 16</p>",أبو الحسن الجرجاني,العصر العباسي,قصائد عتاب,عموديه,بحر الطويل
"تركنا أرضَ مِصرَ لكل فدمٍ
له باعٌ يقصِّرُ عن ذِرَاعي
نفوسٌ لا تليقُ بها الَمَعالي
وأخلاقٌ تضيقُ عن المسَاعِي
إذا غلطوا بأحسابٍ تلته
عِدادٌ من إساءات تِبَاع
أقمتُ بها ومن مَحِنِ الليالي
مَقَامُ الأُسدِ في كَنفِ الضبُّاعِ
أقول وقد نأوا بُعداً وسُحقاً
لِشَرِّ الخَلق في شَرِّ البِقَاعِ
وكم خلَّفتُ من كَرَمٍ مُهَانٍ
بِعَرصَتِهِ ومن لُؤم مُطاعِ
ومن مالٍ مَصُونِ الثَّغرِ تُحمى
جوانِبُه ومن عِرضٍ مُضَاع
وأجسامٍ مُسَمَّنةٍ شباعٍ
وأَحسَابٍ مُضَمَّرةٍ جِياعِ
ونقصٍ في أكابرِها خَصيصٍ
وجهلٍ في أصاغرِها مُشاعِ
أَإِن باتت سرائركُم وكانت
مساوئكم تقام على يَفَاعِ
جعلتم ذنبنَا أَنَّا سَمِعنَا
وما الآذانُ إِلاَّ للسَّمَاعِ
كأنَّ البينَ مَحتومٌ علينا
فليس سِوَى التلاقي والوَداعِ","<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 12</p>",أبو الحسن الجرجاني,العصر العباسي,قصائد عتاب,عموديه,بحر الوافر
"وما أُقيمُ بدارٍ لا أعزُّ بها
ولا يقرُّ قراري حيثُ أُبتذَلُ
وقد كفاني انتجاعَ الغيث مَعرِفتي
بأنَّ دَلِّير لي من سَيِبه بَدَلُ
تَجَنَّبَت نشوات الخمر هِمَّتهُ
وأَعلمَتنَا العطايا أنه ثَملُ","<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 3</p>",أبو الحسن الجرجاني,العصر العباسي,قصائد عتاب,عموديه,بحر البسيط
