Poem,Number of Versus,Poet,Century,Label,Type,Metre
"بِالأَمسِ أَنا وَوصلها وَالخَمرُ
وَاليَوم أَذى الخُمار لي وَالهَجرُ
يا دَهرُ كِلاهُما لديك اِستَويا
بِع ذاكَ بِهَذا وَفِداكَ العُمرُ","<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",نظام الدين الأصفهاني,العصر المملوكي,قصائد فراق,عموديه,بحر الدوبيت
"قالَت وَتَدَلَّلَت مَقالَ الخاشي
دَعني فَلَقَد طالَ لِسانُ الواشي
كَي أَبرأَ مِن حَديث سوءٍ فاشِ
هجرانَك آثرتُ بِلا اِستيحاشِ","<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",نظام الدين الأصفهاني,العصر المملوكي,قصائد فراق,عموديه,بحر الدوبيت
"لَم يُغنِ لَدى الفِراق عَنّي جَزَعي
ما لانَ حصاةُ قَلبها بالخِدَعِ
أَشبَعتُ لَها القَولَ فَقالَت وَمَضَت
أَقصِر فَلَقَد لَفَظتَني عَن شَبَعِ","<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",نظام الدين الأصفهاني,العصر المملوكي,قصائد فراق,عموديه,بحر الدوبيت
"يا قَلبُ لَزِمتَ فَرعَه المَفتولا
قُم في الظُلُمات نادِها مَكبولا
أَصداغُك في الهَجرِ أَطالَت لَيلي
يا رَبّيَ جُنحَ لَيلِها زِد طولا","<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",نظام الدين الأصفهاني,العصر المملوكي,قصائد فراق,عموديه,بحر الدوبيت
"عَن صفرَةِ عاشقيك في الهُجرانِ
ينبيك سَفَرجَلٌ جَناه الجاني
فاِذكر قِطَعاً داميَةً مِن قَلبٍ
قَد غَصَّ بِما حَواه كالرُمّانِ","<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",نظام الدين الأصفهاني,العصر المملوكي,قصائد فراق,عموديه,بحر الدوبيت
"مِن هَجرِكَ هاجَرَ الكَرى أَجفاني
فارقتُك يَوماً فَنَمَت أَشجاني
قَد أَثَّرَ هَجرُ ليلَةٍ واحِدَةٍ
يا وَيليَ إِن طالَ مَدى الهجرانِ","<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",نظام الدين الأصفهاني,العصر المملوكي,قصائد فراق,عموديه,بحر الدوبيت
"لولا الفراقُ لمَا بكيتُ نجيعاً
ولما حَرَمْتُ المقلتين هجوعا
ولما حنيتُ على ضِرامِ تشوُّقٍ
يأْبَى الخمودَ جوانحاً وضلوعا
أَمَّا العزاءُ لأَجْلِ مَنْ فارقتُهُ
فقد استحال مع الفؤاد دموعا
ولكم شكوتُ فما شكوت لراحمٍ
ولكم دعوتُ فما دعوت سميعا
أَسْتَوْدعُ الرحمنَ مَنْ وَدَّعْتُ يو
مَ وداعه قلباً به مفجوعا","<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 5</p>",ابن هانئ الأصغر,العصر الأندلسي,قصائد فراق,عموديه,بحر الكامل
"مِن بَعد فُضوحي بِغَرامي في الحيّ
مِن بَعدِ مُقاساتِيَ في الوَعدِ الليّ
وَلّى وَبِرَسم هَجرِهِ القَلبَ كَوى
ينبينيَ أَنَّ آخِرَ الداءِ الكيّ","<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",نظام الدين الأصفهاني,العصر المملوكي,قصائد فراق,عموديه,بحر الدوبيت
"لَو بَيَّنتَ لَكَ قَبلَ يَومِ فِراقِها
أَنَّ التَفَرُّقَ مِن عَشِيَّةٍ أَو غَدِ
لَشَكَوتَ إِذ عَلِقَ الفُؤادُ بَهائِمٍ
عَلِقٍ حَبائِلَ هائِمٍ لَم يُعهَدِ
وَتَبَرَّجَت لَكَ فَاِستَبَّتكَ بِواضِحٍ
صَلتٍ وَأَسوَدَ في النَصيفِ مُعَقَّدِ
بَيضاءُ خالِصَةُ البَياضِ كَأَنَّها
قَمَرٌ تَوَسَّطَ لَيلُ صَيفٍ مُبرِدِ
مَوسومَةً بِالحُسنِ ذات حَواسِد
إِنَّ الجَمالَ مظِنَّةٌ لِلحُسَّدِ
لَم يُطفِها سَرَفُ الشَبابِ وَلَم تُضِع
فيها مُعاهَدَةُ النَصيحِ المُرشِدِ
خَودٌ إِذا كَثُرَ الكَلامُتَعَوَّذَت
بِحِمى الحَياءِ وَإِن تَكَلَّمَ تَقصِدِ
وَكَأَنَّ طَعمَ سَلافَةٍ مَشمولَةٍ
تَنصَبُّ في إِثرِ السِواكِ الأَغيَدِ
وَتَرى مدامها تُرَقرِقُ مُقلَةً
حَوراءَ تَرغَبُ عَن سَوادِ الإِثمَدِ
ماذا إِذا بَرَزَت غداة رَحيلَها
مِ الحُسنِ تَحتَ رِقاقِ تَلكَ الأَبرُدِ
وُلِدَت بَأَسعَدِ أَنجُمٍ فَمَحَلُّها
وَمَسيرُها أَبَداً بِطَلقِ الأَسعُدِ
اللَهُ يَصحَبُها وَيَسقي دارَها
خَضِلُ الرَبابِ سَرى وَلَمّا يَرعُدِ","<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 12</p>",محمد بن بشير الخارجي,العصر الاموي,قصائد فراق,عموديه,بحر الكامل
"قُل ليحيى مَللتُ من أحبابي
فَلْينكهم ما شاء من أصحابي
قد تركنا تعشّقَ المُرْد لّما
أن بلونا تنعّم العزابِ
وشنئنا المؤاجرين فملنا
بعد خُبْرٍ إلى وصالِ القحابِ
حبَّذا قَيْنَةٌ لأهل بني المن
جاب حلتْ في رُحبةِ المنجابِ
صدَّقت إذ يقول لي خلق الأح
راح ليس الفِقاح للأزبابِ
حبذا تلك إذ تغّنيك يا يح
يى وتسقيك من ثنايا عِذابِ
ذكر القلبِ ذكْرةً أمَّ زيد
والمطايا بالسَّهب سَهب الركابِ
حبَّذا إذ ركبتها فتجافت
تتشكَّى إليك عند الضرابِ
وتغنَّت وأنت تدفع فيها
غيرَ ذي خيفة لهم وارتقابِ
إنَّ جنبي عن الفراش لنابٍ
كتجافي الأسرِّ فوق الظّرَابِ
ليت شعري هل أسمعنَّ إذا ما
زاحَ عني وساوس الكتابِ
من فتاة كأنها خُوْطُ بانٍ
مجَّ فيها النعيم ماءَ الشبابِ
إذ تغنيك فوق سجف رقيقٍ
نَغَماتٍ تحبُّها بصوابِ
شفَّ عنها محَقَّق جندي
فهي كالشمس من خلال السَّحابِ
رُبَّ شعر قد قلته بتباهٍ
وَيغرَّى به ذوو الألبابِ
قد تركت المُلَحّنين إذا ما
ذكروه قاموا على الأذنابِ","<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 16</p>",عبدالصمد العبدي,العصر العباسي,قصائد فراق,عموديه,بحر الخفيف
