Poem,Number of Versus,Poet,Century,Label,Type,Metre
اقلا علي اللوم فيما جنى الحبفإن عذاب المستهام به عذبوصلت غرامي بالدموع وعاقدتجفوني على هجر الكرى الانجم الشهبتقاسمن مني ناظرا ضمنت لهدواعي الهوى ان لا يجف له غربفليت هواهم حمّل القلب وسعهفيقوى له أوليت ما كان لي قلبفأبعد بطيب العيش عني فليس ليبه طائل ان لم يكن بيننا قربالا في ذمام الله عيس تحملتبسرب مهاً للدمع في اثرها سربوكنا وردنا العيش صفوا فاقبلتحوادث أيام بها كدر الشربعدمناك من دهر خؤون لأهلهإذا ما انقضى خطب له راعنا خطبعلى ان رزء الناس يخلق حقبةورزء بني طه تجدده الحقبحدا لهم ركب الفناء ايائهموسار بمغبوط الثناء لهم ركبلحى الله يا أهل العراق صنيعكمفقد طأطأت هاماتها بكم العربدعوتم حسيناً للعراق ولم تزلتسير إليه منكم الرسل والكتبان اقدم الينا يا بن بنت محمدفأنك ان وافيت يلتئم الشعبفلما أتاكم واثقاً بعهودكمإليه إذا مرعى وفائكم جدبفلم يحظ الا بالقنا من قراكموضاق عليه فيكم المنزل الرحبفلم أر أشقى منكم إذ غدرتمبآل علي كي تسود بكم حربفلله أجسام من النور كونتتحكم في أغصانها الطعن والضربفيا يوم عاشوراء أوقدت في الحشامن الحزن نيراناً مدى الدهر لا تخبووقد كنت عيدا قبل يجني بك الهنافعدت قذى الأجفان يجنى بك الكربقضى ابن رسول الله فيك على الظماوقد نهلت منه المهندة القضبوحفت به سمر القنا فكأنهلدى الحرب عين والرماح لها هدبفكم قد اريقت فيك من آل أحمددماء لسادات وكم هتكت حجبوعبرى أذاب الشجو جامد دمعهاتنوح وللأشجان في قلبها ندبإذا عطلت اجيادها من حليهاتحلت بدمع سقطه اللؤلؤ الرطبتعاتب صرعى لو يساعدها القضاإذا وثبوا غضبي وعنها العدى ذبوا,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 25</p>",أبو المحاسن الكربلائي,العراق,قصائد رومنسيه,عموديه,بحر الطويل
أعاذل اني قد شغلت بصبوتيوأنت بشغل من ملامك ناصبفيا بعد ما بيني وبينك في الهوىفقلبي شيعي ولومك ناصي,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",أبو المحاسن الكربلائي,العراق,قصائد رومنسيه,عموديه,بحر الطويل
يا رامي القلب حسبكفقد اصيب محبكاقصيته وهو صبأقصى أمانيه قربكلم لا يرق عليهكرقة الخد قلبكيا ريم في أي وادقد كان يرتع سربكمن الحشا لك مرعىومن دموعي شربكلم يبق طرفك قلباالا غدا وهو نهبكيا طرفه أي عضبمن الصوارم عضبكيا ظالماً ليس يرثىالله ربي وربكبخلت حتى بطيفبه يعلل صبكعن مضجعي قد تجافىجنبي ومهد جنبكيا عاذلي خل عذليفان سمعي حربكفغير دينك دينيوغير شعبي شعبك,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 12</p>",أبو المحاسن الكربلائي,العراق,قصائد رومنسيه,عموديه,بحر المجتث
لي وطن تيمني حبهوهو لعمر الحق نعم الحبيبنقضي لبانات الهوى بينناوما نبالي لحظات الرقيب,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",أبو المحاسن الكربلائي,العراق,قصائد رومنسيه,عموديه,بحر السريع
حي يا برق برقتي اجيادواسق عهد الحبيب صوب عهادأو فكلها إلى دموعي تنهلفتروى بها الربوع الصواديدمن قد عدت عليها من الدهر على غرة الخليط عواديفاستقلوا بكل بيضاء تحميهاعلى العاشقين سمر الصعادوتغنت حداتهم يوم سارواسعدت غربة النوى بسعادمن رأى قبلها ظباء كناستتهادى في ذمة الاساوشموساً طوالعاً في خدوروغصوناً تميس في الابرادبينهم غضة الشبيبة هيفاءكغصن الاراكة الميادذات خد تكاد تندي رياضالحسن فيه مطلولة الأورادورد خد بورد ثغر فيا طيبنعيم الرواد والوراديا ابنة الصيد ما لقومك لاجاز مغانيهم ملث الغواديتبعوا مسقط الغمام وفي وجهكلا الغيث نجعة المرتادكل واد اقمت فيه خصيبفلم استبدلوا بواديك وادسعد البدو في جوارك حتىحسد الحاضرون حظ البواديحسد الأعصر الخوالي لعصرزانه بالكمال فضل الجوادماجد طيب الارومة طابتبشذى ذكره اقاصي البلادفاضل كامل الصفات عديمالمثل والند واحد الآحادجوهر لاح بالغري سناهمستنيراً كالكوكب الوقادقل لباغ احصاء غرّ مساعيهاتحصى النجوم بالتعداديستطيل اليراع في كفه تيهاًوفخراً على القنا الميادترجمان البيان ينصع منهببياض المعنى سواد المدادمستنيراً كأنه مستمدمن أناسي أعين بسوادوعد الدهر بالعجيب بنيهفرأيناه صادق الميعادفشباب القريض بابن شبيبعاد بعد الشيب خير معادأنت يا فارس البراعة جليتولثمت بالغبار جياديبمقال قيد الأوابد طبقتبه مفصل النهى والسدادوبيان بديعه بمعاني الفضلفي منطق البلاغة باديوعقود هي القلائد حسناًفائقات قلائد الاجيادومجال القياس قد ضاق حتىما اطقنا اطراء قس ايادنفثة بابلية تملك السمعارتياحاً وتستخف الناديقدرتها يد اللباقة في السرد فاحكم بصنعة السرادكسقيط الندى انسجاماً وقدجادت بها فكرة كسقط الزناديا صفي العلى صفا بك عيشيحين أصفيت لي زلال الودادأنا ما عشت شاكراً لك نعمىنلت فيها أمنيتي ومراديطالباً للمزيد منك وأدهىحيل المستزيد شكر الأياديدمت مستقبل السعادة حالي الحالماضي الشبا رفيع العماد,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 36</p>",أبو المحاسن الكربلائي,العراق,قصائد رومنسيه,عموديه,بحر الخفيف
هز الدلال قوامها الأملودامرحاً فاخجلت الغصون الميداورنت باجفان تصيد لحاظهاوهي المهاة ضراغماً واسوداغيداء مرهفة المعاطف تنثنيغصناً وتبسم لؤلؤاً منضوداغصن من البلور في أوصافهورق النسيب تردد التغريداما ان تحلت بالعقود وإنمادرر النسيب لها نظمن عقوداقد حل عقد تصبّري وعزائميخصر يقل وشاحها المعقوداايقنت ان من المدام رضابهالما رأيت بصدغها عنقوداتعطو بجيد علمت لفتاتهآرام وجرة كيف تثني الجيدافإذا بدت فهي الغزالة طلعةأو اتلعت فهي الغزالة جيداهل عائد بربا زرود عيشناحيت شآبيب الغمام زرودازمن وردنا فيه منهل لذةعذب الوصال لنا وطاب وروداإذا نجتلي الاقمار فيه أوجهاًأو نجتني الأزهار فيه خدوداربع يرف به الاقاح مباسماًوتميس اعطاف الغصون قدوداوكحيلة الأجفان قاتلة الهوىقال الجمال لمقلتيها سوداما كنت اخشى البيض في فتكاتهاالا إذا كانت جفوناً سوداشمس الضحى اجتهدت لتحكي حسنهاوالعجز الزم ضوءها التقليداتحمي سيوف لحاظها من ثغرهاورداً ومن روض الخدود ورودافالعين ترعى جنة من وجنةوالقلب يصلى للجحيم وقوداوالثغر كنز الدر الا انهاضحى بعقرب صدغها مرصوداملكت محاسنها القلوب فلا ترىالا رهيناً بالغرام عميداومفند لي بالصبابة ما درىان ليس يسمع عاشق تفنيدازعم الهوى غياً فبات يلومنيومن الغواية ان اكون رشيداقالوا سلوت فقلت قد اخذ الهوىمني على حفظ الغرام عهوداوكفى بفيض مدامعي وصبابتيوخفوق قلبي والنحول شهوداما كان أحسنها منازل بهجةغازلت فيهن الحسان الغيداحيث الرقيب على الغرام مساعدعون وحيث العيش كان رغيداربع تضئ به الوجوه كواكباًفيشيم منها الناظرون سعوداعبد المجوس ضياء وجهك ضلةلما رأوا ناراً تشب وقوداوالمسلمون رأوا جمالك آيةتنفي الشرك وتثبت التوحيدا,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 29</p>",أبو المحاسن الكربلائي,العراق,قصائد رومنسيه,عموديه,بحر الكامل
أترى من أحب ينجز وعدافي الهوى أم تراه يحفظ عهدابرّح الوجد في الفؤاد ولولاحبّه ما شكا فؤادي وجدانام عن ليل مغرم تيمتهصبوة تكحل النواظر سهدافإذا رمت نيله صدّ بخلاوإذا رمت قربه زاد بعداجهدت في الهوى أماني نفسيوالأمانيّ تعقب النفس جهداقلت ان الغزال يأنس وصلافتمادى به النفار وصدّاوتأملت ان للغصن عطفاًبالمعنى فمال عني قدّاظمأى للشّراب لاقى سراباًلامعاً يضرم الجوانح وقداورد القلب في هواك عذاباًأيها المانعي من العذب وردايا رياض الخدود دمت وان لميجتني الطرف من رياضك ورداذقت مرّ الصدود منك مراراًفاسقني مرّة من الرّيق شهداصبوتي في الهوى وحسنك كلمنهما جل وصفه ان يحدّاان يفق حسنك الملاح فانيفقت أهل الهوى غراماً ووجدا,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 13</p>",أبو المحاسن الكربلائي,العراق,قصائد رومنسيه,عموديه,بحر الخفيف
روض به ورد الرضاب قد صفافما احيلى ورده ووردهيعبق مسك خاله عن ارجما المسك ما الندّ الذكي ندّهاغيد قد لاح بحرّ وجههخال يسميه الجمال عبدهسلطان حسن بقوانين الهوىنظم من جيش القلوب جندهوطرفه ناظر حرب قد نضاسيفاً ملوك الأرض تخشى حدّهيحيى شهيد السيف من مقلتهحين يذوق من لماه شهدهبذلت نفسي في هواه بذل منلم يأل في شرع الغرام جهده,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 7</p>",أبو المحاسن الكربلائي,العراق,قصائد رومنسيه,عموديه,بحر الرجز
ما على القلب ان يهيم غراماًعند تذكاره الفتاة الرّودامن لمى ثغرها شفاء غليلالصب لو تسمح الشّفاه وروداان مشت فهي بانة أو تغنتفهي ورقاء روضة تغريداتستخف الحليم شوقاً ووجداًأو يعود الحليم صبّاً عميداأوقدت نار صبوتي وجنتاهافهي تذكو من وجنتيها وقودااسرت مهجتي مليكة حسنبعثت لي من الجمال جنودانصرتها جفونها بانكسارفهي تستأسر الرّجال الصيدامن يحاذر لقاء حمر المنايافليحاذر تلك الجفون السّودااغربت صنعة الملاحة فيهافحوت في الملاح حسناً فريدافلأحداقنا حدائق حسنتزدهي كل ناظر ان يرودافكأن المدام في وجنتيهاعصرت فاستعارت التوريدافاجتلينا الخدود منها كؤوساًورشفنا الكؤوس منها خدوداهي شمس الضحى سناً وسناءوهي ريم الفلا جفوناً وجيداقدها الغصن والعقود زهورمن رأى قبلها الزهور عقوداوعلى خصرها يجول وشاحكل قلب به اغتدى معقوداكم غزتنا بعسكر من جمالعقدت شعرها عليه بنودالطفت وجنة ورقت اديماًوقسا قلبها فصدّت صدوداعجباً للجمال وهو بديعكيف اضحى من الجناس بعيداارسلت وارداً من الفرع جثلاوعقاصاً اثيثة وجعوداوليالي الفروع وهي طوالسهدتني شوقاً لها تسهيداولكم قيدت سلاسل ذاكالفرع من جن بالهوى تقييدالك يا ربة الملاحة حسنلك يستخدم الحسان الغيداغرّدي بالهنا فطائر أنسيبك قد عاد ساجعاً غرّيداكم أسير في الحب من غير فادوقتيل مضى عليه شهيداما رأى المستهام بخلك الاقال للناظرين بالدمع جوداعللي بالوصال صبّا مشوقاًقد حمى الشوق ناظريه الهجودالي دين ان كنت تقضين ديناًلغريم أو تنجزين الوعوداقلت للائم المفند فيهاخل عنك الملام والتفنيداقد عداك الهوى فبت خلياًورماني الهوى فبت عميدامنية الصب ان تعود ليالبزرود سقى الغمام زرودامربع كان للظباء الجوازيملعباً يقتنصن فيه الأسوداكل نشوى القوام تعطف منهانشوة الدّل بانة أملوداحي في رامتين ملعب ريمكان عهد المشوق فيه حميداحيث شمس الجمال تطلع فيهفنرى طالع الهوى مسعوداكم رشفنا الرحيق فيه رضاباًوقطفنا الشقيق فيه خدوداوخلعنا للهو فيه عذاراًإذ لبسنا من الوصال بروداونسبنا كأننا قد نظمنامن مديح الأمير درّاً نضيدامدحه كالنسيب يبهج لطفاًفترى كل سامع مستعيداملك قد حوى ممالك حمدفغدا يوم حمده مشهودايفد الحمد والثناء عليهان للحمد والثناء وفوداخلق كالزلال يصفو وبأسباسل في العدى يذيب الحديداوإذا للعدو جهز جيشاًاصبح الفتح للواء عقيدا,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 42</p>",أبو المحاسن الكربلائي,العراق,قصائد رومنسيه,عموديه,بحر الخفيف
يا رعى الله بالشواطي زماناًفيه عيش المحب غض رغيدتجتلي العين فيه بدر جمالطالع الصب في هواه سعيد,"<p class=""d-inline-block px-2 mt-0 mb-1 poem-control main-color"">عدد الابيات : 2</p>",أبو المحاسن الكربلائي,العراق,قصائد رومنسيه,عموديه,بحر الخفيف
