poem,Label,Poet
وَعَذَلتُ أَهلَ العِشقِ حَتّى ذُقتُهُفَعَجِبتُ كَيفَ يَموتُ مَن لا يَعشَقُوَعَذَرتُهُم وَعَرَفتُ ذَنبِيَ أَنَّنيعَيَّرتُهُم فَلَقيتُ فيهِ ما لَقوا,حزن,ابن الفارض
وَلي فُؤادٌ إِذا طالَ العَذابُ بِهِطارَ اِشتِياقاً إِلى لُقيا مُعَذِّبِهِيَفديكَ بِالنَفسِ صَبٌّ لَو يَكونُ لَهُأَعَزُّ مِن نَفسِهِ شَيءٌ فَداكَ بِهِ,عتاب,ابن الفارض
فَما ضاقَ الكَلامُ بِنا وَلَكِنوَجَدنا الحُزنَ أَرخَصُهُ الكَلامُوَخَطبُكَ لا يَفيهِ دَمعُ باكٍوَلَو أَنَّ الَّذي يَبكي الغَمامُ,غزل,امرؤ القيس
أَميلُ بِقَلبي عَنكِ ثُمَّ أَرُدُّهُوَأَعذِرُ نَفسي فيكِ ثُمَّ أَلومُهاإِذا المُهتَدي بِاللَهِ عُدَّت خِلالُهُحَسِبتَ السَماءَ كاثَرَتكَ نُجومُها,حب,امرؤ القيس
يَعتادُني طَربي إِلَيكِ فَيَغتَليوَجدي وَيَدعوني هَواكِ فَأَتبَعُكَلِفٌ بِحُبِّكِ مولَعٌ وَيَسُرُّنيأَنّي امرُؤٌ كَلِفٌ بِحُبِّكِ مولَعُ,حزن,إيليا ابو ماضي
تَمضي اللَيالي وَالشُهورُ وَحُبُّناباقٍ عَلى قِدَمِ الزَمانِ الفانيقَمَرٌ مِنَ الأَقمارِ وَسطَ دُجُنَّةٍيَمشي بِهِ غُصنٌ مِنَ الأَغصانِرُمتُ التَسَلّي عَن هَواهُ فَلَم يَكُنلِيَ بِالتَسَلّي عَن هَواهُ يَدانِ,حزن,المتنبي
تَاللَهِ إِنَّ الشَوقَ يَفعَلُ دَهرَهُبِالجِسمِ ما لا تَفعَلُ الأَسقامُرَحَلَ الحَبيبُ فَطالَ لَيلٌ لَم يَكُنلِقَصيرِهِ بَعدَ الرَحيلِ مُقامُأَينَ الَّتي كانَت لَواحِظُ طَرفِهايَصبو إِلَيها القَلبُ وَهيَ سِهامُ,حزن,المتنبي
وَلَو أَنَّني أَستَغفِرُ اللَهَ كُلَّماذَكَرتُكِ لَم تُكتَب عَلَيَّ ذُنوبُوَلَو أَنَّ لَيلى في العِراقِ لَزُرتُهاوَلَو كانَ خَلفَ الشَمسِ حينَ تَغيبُ,فراق,المتنبي
أَرى الدَهرَ وَالأَيامَ تَفنى وَتَنقَضيوَحُبُّكِ لا يَزدادُ إِلّا تَمادِيا,حب,المتنبي
وما الحبُّ إلا طاعةٌ وتجاوزٌوإن أكثروا أوصافَهُ والمعانياوما هو إلا العينُ بالعين تلتقيوإن نَوَّعوا أسبابَه والدواعياأحمد شوقي ​,شوق,المتنبي
عذراء في أوج الشباب مليحةأسرت بطرف المقلتين فؤادي,حزن,المتنبي
أنت نوري وبهجتي وسروريوأنيسي وراحتي وفتونيقل صبري وذاب في الحب قلبيمن لقلب غدا قتيل العيون,حب,البحتري
مضى زمن يا نفحة العمر وانقضىمن العمر عهد فاض بالشعر والحبوخلّد أحلى الذكريات على المدىتقر بها عيني ويشقى بها قلبي,فراق,إيليا ابو ماضي
فحبك إكسير الحياة وروحهومأوى فؤاد لم يجد من يجيرهسواك وأما في سواك فليس ليمراد وقلبي ما سواك يثيره,مدح,البحتري
أقول لمن يخادعنيخدعت براءتي فاهنأكأنك فكرةٌ نبتتْولم نسأل عن المنشأفكم من خادعٍ يقتاتُجهلاً ، جثةَ المبدأ,غزل,البحتري
الشِّعرُ يحرقُ في الأدغالِ رَونَقَهُوَ يَلْبَسُ المَوتَ لا أقراطَ كُتَّابِ !و شاعِرُ الوردِ في الأدغالِ تلْبَسُهُرُوحُ الطرازانِ في زَهوٍ و إعجابِ,حياة,البحتري
ملكت قلوب الناس قبل جسومهموسيان فيهم مبعد ومقربفدم سالماً للدين والعرب معقلاإلى مجدك العلياء تعزى وتنسب,شوق,البحتري
وليس سوى الدين الحنيف مطهرلعادات شعب أهله قد تشعبوافلما استجابوا للهدى وتشربتنفوسهم من هديه وتشربوا,حب,قيس بن الملوح
وأضاءَ هذا الكونَ نورُ سنائهمتألقا يهدي الجميع رشاد,غزل,قيس بن الملوح
تَأَخَّرتُ أَستَبقي الحَياةَ فَلَم أَجِدلِنَفسي حَياةً مِثلَ أَن أَتَقَدَّمافَلَستُ بِمُبتاعِ الحَياةِ بِسُبَّةٍوَلا مُبتَغٍ مِن رَهبَةِ المَوتِ سُلَّما,حب,أحمد شوقي
وَما كانَ ذَنبي فيهِمُ غَيرَ أَنَّنيبَسَطتُ يَداً فيهِم وَأَتبَعتُها يَداوَأَنّي أُحامي مِن وَراءِ حَريمِهِمإِذا ما المُنادي بِالمُغيرَةِ نَدَّدا,غزل,حمد بن خليفة أبو شهاب
إذا سلكت سبيلاً أنت سالكهفاذهب فلا يبعدنك الله منتشر,غزل,حمد بن خليفة أبو شهاب
لا نجعلُ الباطلَ حقَّاً ولانلظُّ دونَ الحقِّ بالباطِلِنَخافُ أن تسفَهَ أحلامُنافنخمُلَ الدهرَ مع الخامِلِ,غزل,حمد بن خليفة أبو شهاب
وليسَ بنافعٍ ذا البُخلِ مالٌولا مُزرٍ بصاحبهِ الحباءُغنيُّ النفس ما استغنى بشيءٍوفقرُ النفسِ ما عَمَرت شَقَاءُ,غزل,حمد بن خليفة أبو شهاب
فالبيض يهتفن والأبصار طامحةمما ترى وخدود القوم تنعفرُتكسوهمُ مرهفاتٌ غير محدثةٍيشفي اختلاسُ ضباها من به صعرُ,عتاب,كريم معتوق
وَما يُدريكَ ما فَقري إِلَيهِإِذا مَا القَومُ وَلَّوا أَو أَغارواوَيُحضِرُ فَوقَ جُهدِ الحُضرِ نَصّاًيَصيدُكَ قافِلاً وَالمُخُّ رارُ,تسامح,سالم أبو جمهور القبيسي
إِذا المَرءُ لَم يُدنَس مِنَ اللُؤمِ عِرضُهُفَكُلُّ رِداءٍ يَرتَديهِ جَميلُوَإِن هُوَ لَم يَحمِل عَلى النَفسِ ضَيمَهافَلَيسَ إِلى حُسنِ الثَناءِ سَبيلُ,مدح,خالد الفرج
إِذا سَيِّدٌ مِنّا خَلا قامَ سَيِّدٌقَؤُولٌ لِما قالَ الكِرامُ فَعُولُ,دينية,خالد الفرج
حُسامٌ كَلَونِ المِلح صافٍ حَديدُهُجُرازٍ كَأَقطاع الغَدير المُنَعَّتِ,دينية,خالد الفرج
وَفي الأَرضِ مَنأى لِلكَريمِ عَنِ الأَذىوَفيها لِمَن خافَ القِلى مُتَعَزَّلُلَعَمرُكَ ما في الأَرضِ ضيقٌ عَلى اِمرئٍسَرى راغِباً أَو راهِباً وَهوَ يَعقِلُ,حياة,الحصين بن حمام الفزاري
وَإنّي لَحُلوٌ إِن أُرِيَدت حَلاوَتيوَمُرٌّ إِذا نَفسُ العَزوفِ استَمَرَّتِ,اخلاق,الحصين بن حمام الفزاري
وَلَو يُجَمَّعُ رِفدُ الناسِ كُلِّهِمِلَم يَرفِدِ الناسُ إِلّا دونَ ما رَفَدوافَالمُسلِمونَ بِخَيرٍ ما بَقيتَ لَهُموَلَيسَ بَعدَكَ خَيرٌ حينَ تُفتَقَدُ,حكمة,الدعجاء بنت وهب
فَما أَنا مِن حُبِّ الحَياةِ بِهارِبٍإِلى المَوتِ إِن جاشَت عَلَيَّ مَسايِلُهفَلا تَجعَلَنّي يا اِبنَ مَروانَ كَاِمرِئٍغَلَت في هَوى آلِ الزُبَيرِ مَراجِلُه,حكمة,الربيع بن أبي الحقيق
فَاليَومَ أَجهَدُ نَفسي ما وَسِعتُ لَكُموَهَل تُكَلَّفُ نَفسٌ فَوقَ ما تَسَعُ,حكمة,الربيع بن أبي الحقيق
فَالقَلبُ مِن حُبِّها يَعتادُهُ سَقَمٌإِذا تَذَكَّرتُها وَالجِسمُ مَسلولُوَإِن تَناسَيتُها أَو قُلتُ قَد شَحَطَتعادَت نَواشِطُ مِنها فَهوَ مَكبولُ,شجاعة,الربيع بن زياد العبسي
كَأَنَّ قَلبي غَداةَ البَينِ مُقتَسَمٌطارَت بِهِ عُصَبٌ شَتّى لِأَمصارِوَلَو تَلُفُّ النَوى مَن قَد تُشَوِّفَهُإِذاً قَضَيتُ لُباناتي وَأَوطاري,عتاب,السليك بن السلكة
وَالناسُ هَمُّهُمُ الحَياةُ وَما أَرىطولَ الحَياةِ يَزيدُ غَيرَ خَبالِوَإِذا اِفتَقَرتَ إِلى الذَخائِرِ لَم تَجِدذُخراً يَكونُ كَصالِحِ الأَعمالِ,اخلاق,السموأل
هَلِ الشَبابُ الَّذي قَد فاتَ مَردودُأَم هَل دَواءٌ يَرُدُّ الشَيبَ مَوجودُلَن يَرجِعَ الشيبُ شُبّاناً وَلَن يَجِدواعِدلَ الشَبابِ لَهُم ما أَورَقَ العودُ,اخلاق,السموأل
ذَراني تَجُد كَفّي بِمالي فَإِنَّنيسَأُصبِحُ لا أَسطيعُ جوداً وَلا بُخلا وَلَيسَ بَخيلُ النَفسِ بِالمالِ خالِداًوَلا مِن جَوادٍ مَيِّتاً فَاِعلَمي هُزلا,شجاعة,الشنفرى
وَلَكِن غَلَبتَ الناسَ أَن تَتبَعَ الهَوىوَفاءً يَروقُ العَينَ مِن كُلِّ رائِقِوَأَدرَكتَ مَن قَد كانَ قَبلَكَ عامِلاًبِضِعفَينِ مِمّا قَد جَبى غَيرَ راهِقِ,اخلاق,الشنفرى
